venue_name,year,format,batting_sr,batting_avg,boundary_%,bowling_econ,bowling_avg,bowling_sr,runs,balls,wickets,fours,sixes,matches,innings_count
"County Ground, Hove",2007,ODI,108.17,43.27,55.16,6.49,43.27,40.0,649,600,15,73,11,1,2
"County Ground, Hove",2008,ODI,59.07,17.1,39.18,3.54,17.1,28.95,342,579,20,29,3,1,2
"County Ground, Hove",2009,ODI,64.83,23.52,40.14,3.89,23.52,36.28,588,907,25,53,4,2,4
"County Ground, Hove",2009,T20,111.67,29.78,36.57,6.7,29.78,26.67,268,240,9,23,1,1,2
"County Ground, Hove",2010,ODI,78.22,27.47,34.69,4.69,27.47,35.12,467,597,17,30,7,1,2
"County Ground, Hove",2011,T20,106.91,17.68,42.02,6.41,17.68,16.54,495,463,28,43,6,2,4
"County Ground, Hove",2012,ODI,51.43,18.56,26.26,3.09,18.56,36.09,594,1155,32,39,0,2,4
"County Ground, Hove",2012,T20,93.13,16.27,33.79,5.59,16.27,17.48,651,699,40,52,2,3,6
"County Ground, Hove",2013,ODI,86.28,34.72,37.56,5.18,34.72,40.24,868,1006,25,80,1,2,4
"County Ground, Hove",2013,T20,115.42,30.78,32.49,6.92,30.78,26.67,277,240,9,21,1,1,2
"County Ground, Hove",2014,T20,97.22,23.33,47.62,5.83,23.33,24.0,420,432,18,50,0,2,4
"County Ground, Hove",2015,ODI,82.42,30.1,47.16,4.95,30.1,36.52,933,1132,31,110,0,2,4
"County Ground, Hove",2015,T20,95.87,15.75,34.47,5.75,15.75,16.43,441,460,28,35,2,2,4
"County Ground, Hove",2016,ODI,88.91,33.08,39.04,5.33,33.08,37.21,794,893,24,70,5,2,4
"County Ground, Hove",2016,T20,122.71,24.54,50.93,7.36,24.54,20.0,589,480,24,63,8,2,4
"County Ground, Hove",2017,ODI,80.11,29.51,46.83,4.81,29.51,36.83,10091,12596,342,1027,103,24,48
"County Ground, Hove",2017,T20,143.75,24.64,58.55,8.62,24.64,17.14,345,240,14,34,11,1,2
"County Ground, Hove",2018,ODI,85.3,27.2,44.12,5.12,27.2,31.89,952,1116,35,87,12,2,4
"County Ground, Hove",2018,T20,141.79,27.44,61.05,8.51,27.44,19.36,1235,871,45,145,29,4,8
"County Ground, Hove",2019,ODI,107.48,42.54,51.9,6.45,42.54,39.58,1106,1029,26,103,27,2,4
"County Ground, Hove",2019,T20,124.71,23.16,51.65,7.48,23.16,18.57,1181,947,51,118,23,4,8
"County Ground, Hove",2020,T20,117.42,18.08,49.29,7.05,18.08,15.39,1193,1016,66,123,16,5,10
"County Ground, Hove",2021,T20,115.53,21.72,46.41,6.93,21.72,18.8,543,470,25,48,10,2,4
"County Ground, Hove",2022,ODI,81.1,45.9,44.01,4.87,45.9,56.6,459,566,10,46,3,1,2
"County Ground, Hove",2023,T20,174.64,34.43,58.92,10.48,34.43,19.71,241,138,7,25,7,1,2
"County Ground, Hove",2024,T20,139.36,11.91,64.12,8.36,11.91,8.55,131,94,11,12,6,1,2
"County Ground, Hove",2025,T20,92.61,16.3,51.53,5.56,16.3,17.6,163,176,10,21,0,1,2
"County Ground, New Road",2005,Test,34.7,21.38,63.0,2.08,21.38,61.62,727,2095,34,113,1,1,4
"County Ground, New Road",2009,Test,41.6,27.7,47.05,2.5,27.7,66.58,914,2197,33,106,1,1,4
"County Ground, New Road",2015,ODI,70.3,23.12,36.13,4.22,23.12,32.88,393,559,17,34,1,1,2
"County Ground, New Road",2016,ODI,92.83,36.27,54.78,5.57,36.27,39.07,544,586,15,58,11,1,2
"County Ground, New Road",2018,ODI,66.67,31.83,48.69,4.0,31.83,47.75,382,573,12,42,3,1,2
"County Ground, New Road",2019,ODI,77.29,24.62,36.88,4.64,24.62,31.85,320,414,13,25,3,1,2
"County Ground, New Road",2021,ODI,76.23,22.36,42.98,4.57,22.36,29.33,805,1056,36,82,3,2,4
"County Ground, New Road",2022,T20,127.78,29.9,51.51,7.67,29.9,23.4,299,234,10,37,1,1,2
"County Ground, New Road",2024,ODI,71.11,23.58,55.83,4.27,23.58,33.17,283,398,12,38,1,1,2
DP World Wanderers Stadium,2003,ODI,93.31,35.27,44.63,5.6,35.27,37.8,2469,2646,70,220,37,5,10
DP World Wanderers Stadium,2003,Test,58.22,37.43,53.43,3.49,37.43,64.3,1385,2379,37,176,6,1,4
DP World Wanderers Stadium,2005,ODI,73.33,24.66,45.59,4.4,24.66,33.62,715,975,29,71,7,2,4
DP World Wanderers Stadium,2005,T20,118.67,17.8,52.43,7.12,17.8,15.0,267,225,15,26,6,1,2
DP World Wanderers Stadium,2006,ODI,145.58,67.08,57.8,8.73,67.08,46.08,872,599,13,87,26,1,2
DP World Wanderers Stadium,2006,T20,136.33,27.21,56.66,8.18,27.21,19.96,653,479,24,58,23,2,4
DP World Wanderers Stadium,2006,Test,58.34,24.39,56.62,3.5,24.39,41.8,2780,4765,114,368,17,3,12
DP World Wanderers Stadium,2007,ODI,74.46,28.09,47.9,4.47,28.09,37.73,309,415,11,31,4,1,2
DP World Wanderers Stadium,2007,T20,140.07,24.37,54.46,8.4,24.37,17.4,3265,2331,134,275,113,10,20
DP World Wanderers Stadium,2007,Test,53.36,29.31,54.37,3.2,29.31,54.94,938,1758,32,117,7,1,4
DP World Wanderers Stadium,2008,ODI,106.98,56.22,46.25,6.42,56.22,52.56,506,473,9,42,11,1,2
DP World Wanderers Stadium,2008,T20,121.78,17.57,47.56,7.31,17.57,14.43,492,404,28,42,11,2,4
DP World Wanderers Stadium,2009,ODI,82.02,27.33,46.4,4.92,27.33,33.33,3362,4099,123,315,50,8,16
DP World Wanderers Stadium,2009,T20,152.76,30.14,59.43,9.17,30.14,19.73,663,434,22,55,29,2,4
DP World Wanderers Stadium,2009,Test,51.95,29.6,48.82,3.12,29.6,56.98,1184,2279,40,128,11,1,4
DP World Wanderers Stadium,2010,Test,61.37,28.59,51.81,3.68,28.59,46.59,772,1258,27,94,4,1,3
DP World Wanderers Stadium,2011,ODI,69.93,18.95,35.88,4.2,18.95,27.1,379,542,20,31,2,1,2
