venue_name,year,format,batting_sr,batting_avg,boundary_%,bowling_econ,bowling_avg,bowling_sr,runs,balls,wickets,fours,sixes,matches,innings_count
Eden Park,2008,T20,141.15,19.06,59.77,8.47,19.06,13.5,686,486,36,56,31,2,6
Eden Park,2009,ODI,83.57,25.0,54.0,5.01,25.0,29.92,300,359,12,24,11,1,2
Eden Park,2010,ODI,95.45,31.16,49.9,5.73,31.16,32.65,966,1012,31,83,25,2,4
Eden Park,2010,T20,129.6,20.64,66.44,7.78,20.64,15.93,289,223,14,24,16,1,2
Eden Park,2011,ODI,100.0,33.24,50.97,6.0,33.24,33.24,565,565,17,45,18,1,2
Eden Park,2012,ODI,76.38,27.6,42.03,4.58,27.6,36.13,414,542,15,30,9,1,2
Eden Park,2012,T20,121.61,22.21,47.16,7.3,22.21,18.26,844,694,38,59,27,3,6
Eden Park,2013,ODI,75.5,20.73,49.71,4.53,20.73,27.45,684,906,33,58,18,2,4
Eden Park,2013,T20,161.67,24.25,63.4,9.7,24.25,15.0,388,240,16,27,23,1,2
Eden Park,2013,Test,45.34,34.37,58.35,2.72,34.37,75.8,1203,2653,35,150,17,1,4
Eden Park,2014,ODI,104.67,33.05,54.46,6.28,33.05,31.58,628,600,19,51,23,1,2
Eden Park,2014,T20,123.75,22.85,51.85,7.42,22.85,18.46,297,240,13,19,13,1,2
Eden Park,2014,Test,61.35,29.4,54.76,3.68,29.4,47.92,1176,1917,40,134,18,1,4
Eden Park,2015,ODI,97.13,30.25,56.34,5.83,30.25,31.15,2027,2087,67,194,61,5,9
Eden Park,2016,ODI,102.33,28.86,56.63,6.14,28.86,28.2,1010,987,35,92,34,2,4
Eden Park,2016,T20,146.43,22.78,61.46,8.79,22.78,15.56,615,420,27,48,31,2,4
Eden Park,2017,ODI,87.95,29.5,45.9,5.28,29.5,33.54,1416,1610,48,128,23,3,6
Eden Park,2017,T20,139.71,18.25,64.38,8.38,18.25,13.06,292,209,16,23,16,1,2
Eden Park,2018,T20,165.62,30.08,59.3,9.94,30.08,18.16,1113,672,37,81,56,3,6
Eden Park,2018,Test,46.61,28.75,50.93,2.8,28.75,61.68,805,1727,28,95,5,1,3
Eden Park,2019,T20,146.9,22.8,53.61,8.81,22.8,15.52,1231,838,54,75,60,4,10
Eden Park,2020,ODI,82.74,30.36,45.65,4.96,30.36,36.69,1275,1541,42,126,13,3,6
Eden Park,2020,T20,152.5,31.21,59.02,9.15,31.21,20.47,1342,880,43,96,68,4,8
Eden Park,2021,T20,172.39,15.4,71.86,10.34,15.4,8.93,231,134,15,19,15,2,3
Eden Park,2022,ODI,89.82,39.48,47.12,5.39,39.48,43.95,1579,1758,40,150,24,3,6
Eden Park,2023,ODI,84.13,17.5,50.86,5.05,17.5,20.8,350,416,20,31,9,1,2
Eden Park,2023,T20,166.13,27.47,59.22,9.97,27.47,16.53,412,248,15,28,22,1,4
Eden Park,2024,T20,156.72,20.41,63.25,9.4,20.41,13.02,898,573,44,73,46,3,6
Eden Park,2025,ODI,92.05,24.44,54.55,5.52,24.44,26.56,440,478,18,33,18,1,2
Eden Park,2025,T20,165.3,45.25,63.54,9.92,45.25,27.38,724,438,16,76,26,3,5
Edgbaston,2003,Test,63.38,62.3,55.38,3.8,62.3,98.3,1246,1966,20,162,7,1,4
Edgbaston,2004,ODI,77.39,25.95,40.85,4.64,25.95,33.53,1557,2012,60,132,18,4,8
Edgbaston,2004,Test,66.06,35.18,59.77,3.96,35.18,53.26,1372,2077,39,187,12,1,4
Edgbaston,2005,ODI,88.69,29.8,48.32,5.32,29.8,33.6,298,336,10,33,2,1,2
Edgbaston,2006,ODI,63.58,19.31,43.37,3.81,19.31,30.38,309,486,16,32,1,1,2
Edgbaston,2006,Test,49.8,22.0,47.86,2.99,22.0,44.18,748,1502,34,85,3,1,4
Edgbaston,2007,ODI,87.12,30.76,39.8,5.23,30.76,35.3,1015,1165,33,74,18,2,4
Edgbaston,2008,ODI,112.02,24.08,48.44,6.72,24.08,21.5,289,258,12,29,4,1,2
Edgbaston,2008,Test,57.4,34.03,52.39,3.44,34.03,59.29,1191,2075,35,153,2,1,4
Edgbaston,2009,ODI,100.0,35.18,38.46,6.0,35.18,35.18,598,598,17,47,7,1,2
Edgbaston,2009,Test,61.12,40.56,59.17,3.67,40.56,66.36,1014,1659,25,147,2,1,3
Edgbaston,2010,ODI,96.49,32.35,53.82,5.79,32.35,33.53,550,570,17,56,12,1,2
Edgbaston,2010,T20,132.77,16.86,54.81,7.97,16.86,12.7,624,470,37,66,13,2,4
Edgbaston,2010,Test,44.34,23.77,48.03,2.66,23.77,53.61,737,1662,31,87,1,1,4
Edgbaston,2011,Test,64.16,43.63,55.18,3.85,43.63,68.0,1178,1836,27,149,9,1,3
Edgbaston,2012,T20,157.58,20.8,50.0,9.45,20.8,13.2,208,132,10,14,8,1,2
Edgbaston,2012,Test,57.51,43.13,50.7,3.45,43.13,75.0,647,1125,15,76,4,1,2
Edgbaston,2013,ODI,78.61,23.84,34.81,4.72,23.84,30.32,1764,2244,74,134,13,6,11
Edgbaston,2014,ODI,81.11,34.36,38.88,4.87,34.36,42.36,859,1059,25,64,13,2,4
Edgbaston,2014,T20,125.21,25.04,51.91,7.51,25.04,20.0,601,480,24,51,18,2,4
Edgbaston,2015,ODI,124.44,31.89,55.78,7.47,31.89,25.63,606,487,19,62,15,1,2
Edgbaston,2015,Test,62.43,25.19,57.32,3.75,25.19,40.34,806,1291,32,111,3,1,4
Edgbaston,2016,ODI,100.99,72.86,41.96,6.06,72.86,72.14,510,505,7,34,13,1,2
Edgbaston,2016,Test,53.06,37.31,52.12,3.18,37.31,70.31,1343,2531,36,169,4,1,4
Edgbaston,2017,ODI,93.69,38.79,50.02,5.62,38.79,41.4,2211,2360,57,221,37,5,10
Edgbaston,2017,Test,59.74,29.25,58.12,3.58,29.25,48.96,819,1371,28,116,2,1,3
Edgbaston,2018,T20,173.95,27.6,66.18,10.44,27.6,15.87,414,238,15,37,21,1,2
Edgbaston,2018,Test,55.13,22.58,48.5,3.31,22.58,40.95,903,1638,40,105,3,1,4
Edgbaston,2019,ODI,93.03,40.86,47.67,5.58,40.86,43.92,2656,2855,65,252,43,5,10
Edgbaston,2019,Test,56.47,34.89,49.26,3.39,34.89,61.78,1291,2286,37,147,8,1,4
Edgbaston,2021,ODI,112.76,41.44,51.58,6.77,41.44,36.75,663,588,16,72,9,1,2
Edgbaston,2021,Test,52.3,26.69,52.22,3.14,26.69,51.03,854,1633,32,110,1,1,4
Edgbaston,2022,T20,113.1,20.03,52.22,6.79,20.03,17.71,4186,3701,209,458,59,17,34
Edgbaston,2022,Test,72.33,40.09,54.42,4.34,40.09,55.42,1323,1829,33,162,12,1,4
Edgbaston,2023,T20,135.53,22.75,54.63,8.13,22.75,16.79,637,470,28,54,22,2,4
Edgbaston,2023,Test,62.98,37.06,48.58,3.78,37.06,58.83,1334,2118,36,135,18,1,4
Edgbaston,2024,T20,132.19,18.67,61.04,7.93,18.67,14.12,616,466,33,73,14,2,4
Edgbaston,2024,Test,72.96,30.67,48.91,4.38,30.67,42.03,920,1261,30,99,9,1,4
Edgbaston,2025,ODI,122.71,31.22,56.23,7.36,31.22,25.44,562,458,18,55,16,1,2
Edgbaston,2025,T20,139.58,27.92,52.54,8.38,27.92,20.0,335,240,12,41,2,1,2
Edgbaston,2025,Test,72.0,47.0,55.56,4.32,47.0,65.28,1692,2350,36,190,30,1,4
Ekana Cricket Stadium,2018,T20,132.92,29.0,55.17,7.98,29.0,21.82,319,240,11,26,12,1,2
Ekana Cricket Stadium,2021,ODI,75.63,38.77,46.81,4.54,38.77,51.26,2055,2717,53,221,13,5,10
Ekana Cricket Stadium,2021,T20,121.94,33.58,58.31,7.32,33.58,27.54,806,661,24,101,11,3,6
Ekana Cricket Stadium,2022,ODI,101.88,40.75,49.08,6.11,40.75,40.0,489,480,12,48,8,1,2
Ekana Cricket Stadium,2022,T20,140.0,42.0,48.81,8.4,42.0,30.0,336,240,8,26,10,1,2
Ekana Cricket Stadium,2023,ODI,84.87,27.2,44.01,5.09,27.2,32.05,1795,2115,66,157,27,4,8
Ekana Cricket Stadium,2023,T20,83.68,16.67,28.0,5.02,16.67,19.92,200,239,12,14,0,1,2
Ekeberg Cricket Ground 1,2024,T20,105.23,16.84,21.55,6.31,16.84,16.0,724,688,43,39,0,3,6
Ekeberg Cricket Ground 2,2024,T20,74.01,13.1,18.32,4.44,13.1,17.7,131,177,10,6,0,1,2
Entebbe Cricket Oval,2021,T20,111.69,19.76,47.62,6.7,19.76,17.7,2016,1805,102,177,42,8,16
Entebbe Cricket Oval,2023,T20,80.93,12.93,35.47,4.86,12.93,15.98,2470,3052,191,204,10,15,30
Entebbe Cricket Oval,2025,T20,93.42,15.41,34.73,5.61,15.41,16.49,4930,5277,320,335,62,24,48
Estonian National Cricket and Rugby Field,2025,T20,110.41,15.31,37.79,6.62,15.31,13.87,2281,2066,149,130,57,10,20
Europa Sports Complex,2023,T20,124.86,19.8,49.24,7.49,19.8,15.86,4119,3299,208,294,142,15,30
Europa Sports Complex,2024,T20,96.27,14.53,29.27,5.78,14.53,15.09,1264,1313,87,67,17,7,14
FB Fields,2023,T20,92.15,13.24,30.64,5.53,13.24,14.37,927,1006,70,65,4,5,10
FTZ Sports Complex (BOI),2019,ODI,76.81,29.25,49.57,4.61,29.25,38.08,351,457,12,36,5,1,2
Faleata Oval No 2,2024,T20,126.02,21.16,53.7,7.56,21.16,16.79,3322,2636,157,230,144,12,24
Feroz Shah Kotla,2005,ODI,85.63,24.83,42.95,5.14,24.83,29.0,447,522,18,42,4,1,2
Feroz Shah Kotla,2006,ODI,72.1,18.35,58.86,4.33,18.35,25.45,367,509,20,48,4,1,2
Feroz Shah Kotla,2007,Test,49.95,28.15,55.38,3.0,28.15,56.35,957,1916,34,125,5,1,4
Feroz Shah Kotla,2008,Test,55.93,64.95,50.8,3.36,64.95,116.14,1429,2555,22,171,7,1,4
Feroz Shah Kotla,2009,ODI,74.15,38.71,33.21,4.45,38.71,52.21,542,731,14,39,4,2,3
Feroz Shah Kotla,2011,ODI,81.97,29.34,47.34,4.92,29.34,35.79,2142,2613,73,204,33,5,10
Feroz Shah Kotla,2011,Test,53.95,27.69,47.06,3.24,27.69,51.31,969,1796,35,102,8,1,4
Feroz Shah Kotla,2013,ODI,58.38,16.2,46.91,3.5,16.2,27.75,324,555,20,29,6,1,2
Feroz Shah Kotla,2013,Test,54.8,25.18,48.83,3.29,25.18,45.94,856,1562,34,100,3,1,4
Feroz Shah Kotla,2014,ODI,82.56,28.12,42.68,4.95,28.12,34.06,478,579,17,36,10,1,2
Feroz Shah Kotla,2015,Test,35.11,24.71,48.09,2.11,24.71,70.4,865,2464,35,89,10,1,4
Feroz Shah Kotla,2016,ODI,80.07,25.16,41.42,4.8,25.16,31.42,478,597,19,39,7,1,2
Feroz Shah Kotla,2016,T20,109.74,21.75,46.7,6.58,21.75,19.82,2197,2002,101,201,37,9,18
Feroz Shah Kotla,2017,T20,146.25,31.91,56.98,8.78,31.91,21.82,351,240,11,29,14,1,2
Feroz Shah Kotla,2017,Test,57.88,51.93,48.01,3.47,51.93,89.71,1454,2512,28,164,7,1,4
Feroz Shah Kotla,2019,ODI,84.83,26.79,45.19,5.09,26.79,31.58,509,600,19,44,9,1,2
Feroz Shah Kotla,2019,T20,127.43,33.56,54.97,7.65,33.56,26.33,302,237,9,25,11,1,2
Feroz Shah Kotla,2022,ODI,73.38,15.69,57.84,4.4,15.69,21.38,204,278,13,25,3,1,2
Feroz Shah Kotla,2022,T20,180.0,60.43,70.92,10.8,60.43,33.57,423,235,7,33,28,1,2
Feroz Shah Kotla,2023,ODI,117.22,36.08,61.86,7.03,36.08,30.78,1804,1539,50,189,60,3,6
Feroz Shah Kotla,2023,Test,57.27,22.24,56.88,3.44,22.24,38.82,756,1320,34,88,13,1,4
Feroz Shah Kotla,2024,T20,148.33,19.78,61.24,8.9,19.78,13.33,356,240,18,26,19,1,2
Feroz Shah Kotla,2025,ODI,137.26,39.05,59.92,8.24,39.05,28.45,781,569,20,99,12,1,2
Feroz Shah Kotla,2025,Test,57.61,45.71,53.44,3.46,45.71,79.36,1280,2222,28,144,18,1,4
Forthill Cricket Ground,2019,T20,83.74,13.45,33.66,5.02,13.45,16.07,1628,1944,121,119,12,10,20
Forthill Cricket Ground,2024,ODI,79.95,26.55,46.79,4.8,26.55,33.21,2257,2823,85,216,32,6,12
Forthill Cricket Ground,2025,ODI,94.83,34.61,44.8,5.69,34.61,36.49,3357,3540,97,265,74,6,12
GB Oval,2023,T20,115.1,13.03,59.41,6.91,13.03,11.32,404,351,31,27,22,2,4
GB Oval,2025,T20,142.88,22.65,55.63,8.57,22.65,15.85,3239,2267,143,233,145,11,21
GMHBA Stadium,2022,T20,110.33,17.92,39.64,6.62,17.92,16.24,1559,1413,87,96,39,6,12
"Gaddafi Stadium, Lahore",2003,ODI,88.71,36.77,40.02,5.32,36.77,41.45,2059,2321,56,161,30,4,8
"Gaddafi Stadium, Lahore",2003,Test,52.76,35.19,49.91,3.17,35.19,66.69,1126,2134,32,133,5,1,4
"Gaddafi Stadium, Lahore",2004,ODI,94.24,33.08,41.56,5.65,33.08,35.1,1588,1685,48,147,12,3,6
"Gaddafi Stadium, Lahore",2005,ODI,105.34,43.71,41.83,6.32,43.71,41.5,612,581,14,52,8,1,2
"Gaddafi Stadium, Lahore",2006,ODI,91.75,42.57,49.23,5.51,42.57,46.39,979,1067,23,107,9,2,4
"Gaddafi Stadium, Lahore",2006,Test,55.03,32.1,54.07,3.3,32.1,58.32,995,1808,31,127,5,1,4
"Gaddafi Stadium, Lahore",2007,ODI,85.52,28.3,41.6,5.13,28.3,33.09,1500,1754,53,126,20,3,6
"Gaddafi Stadium, Lahore",2007,Test,48.64,42.29,42.57,2.92,42.29,86.93,1184,2434,28,123,2,1,4
"Gaddafi Stadium, Lahore",2008,ODI,92.68,30.95,39.78,5.56,30.95,33.4,2569,2772,83,233,15,5,10
"Gaddafi Stadium, Lahore",2009,ODI,87.87,25.6,35.42,5.27,25.6,29.13,384,437,15,31,2,1,2
"Gaddafi Stadium, Lahore",2009,Test,68.32,65.09,55.31,4.1,65.09,95.27,716,1048,11,99,0,1,2
"Gaddafi Stadium, Lahore",2015,ODI,104.68,57.5,45.71,6.28,57.5,54.93,1610,1538,28,142,28,3,6
"Gaddafi Stadium, Lahore",2015,T20,146.53,31.64,56.9,8.79,31.64,21.59,696,475,22,69,20,2,4
"Gaddafi Stadium, Lahore",2017,T20,143.9,30.67,54.78,8.63,30.67,21.31,1380,959,45,117,48,4,8
"Gaddafi Stadium, Lahore",2019,T20,118.51,19.21,48.83,7.11,19.21,16.21,1114,940,58,100,24,4,8
"Gaddafi Stadium, Lahore",2020,T20,121.66,32.71,48.92,7.3,32.71,26.88,556,457,17,56,8,2,4
"Gaddafi Stadium, Lahore",2021,T20,138.7,25.86,61.44,8.32,25.86,18.65,957,690,37,87,40,3,6
"Gaddafi Stadium, Lahore",2022,ODI,92.07,38.49,42.35,5.52,38.49,41.81,3041,3303,79,265,38,6,12
"Gaddafi Stadium, Lahore",2022,T20,133.76,24.85,50.85,8.03,24.85,18.58,2112,1579,85,198,47,7,14
"Gaddafi Stadium, Lahore",2022,Test,46.44,33.97,44.78,2.79,33.97,73.15,1121,2414,33,115,7,1,4
"Gaddafi Stadium, Lahore",2023,ODI,82.52,29.77,49.1,4.95,29.77,36.08,387,469,13,37,7,1,2
"Gaddafi Stadium, Lahore",2023,T20,136.42,20.52,56.57,8.18,20.52,15.04,944,692,46,84,33,3,6
"Gaddafi Stadium, Lahore",2024,T20,146.85,23.3,52.07,8.81,23.3,15.87,699,476,30,61,20,2,4
"Gaddafi Stadium, Lahore",2025,ODI,89.83,32.68,45.08,5.39,32.68,36.37,7156,7966,219,679,85,15,30
"Gaddafi Stadium, Lahore",2025,T20,158.93,26.9,61.65,9.54,26.9,16.93,1103,694,41,80,60,3,6
"Gaddafi Stadium, Lahore",2025,Test,55.08,24.92,43.33,3.3,24.92,45.25,997,1810,40,87,14,1,4
Gahanga International Cricket Stadium,2019,T20,79.58,11.26,29.28,4.77,11.26,14.15,608,764,54,43,1,4,8
Gahanga International Cricket Stadium,2021,T20,107.27,17.85,47.99,6.44,17.85,16.64,8961,8354,502,757,212,40,80
Gahanga International Cricket Stadium,2022,T20,103.86,15.0,46.36,6.23,15.0,14.44,8818,8490,588,692,220,46,89
Gahanga International Cricket Stadium,2023,T20,129.99,19.41,57.23,7.8,19.41,14.93,4833,3718,249,447,163,17,34
Gahanga International Cricket Stadium,2024,T20,95.39,14.91,47.22,5.72,14.91,15.63,9767,10239,655,868,190,48,96
Gahanga International Cricket Stadium,2025,T20,92.07,15.09,41.85,5.52,15.09,16.39,8254,8965,547,661,135,42,84
Galle International Stadium,2004,Test,52.46,33.34,48.3,3.15,33.34,63.55,1267,2415,38,144,6,1,4
Galle International Stadium,2007,Test,50.42,34.62,43.32,3.03,34.62,68.67,831,1648,24,90,0,1,3
Galle International Stadium,2008,Test,57.13,25.65,49.12,3.43,25.65,44.9,1026,1796,40,114,8,1,4
Galle International Stadium,2009,Test,57.91,29.57,48.35,3.47,29.57,51.05,2188,3778,74,245,13,2,8
Galle International Stadium,2010,Test,61.45,47.63,49.81,3.69,47.63,77.51,2429,3953,51,271,21,2,7
Galle International Stadium,2011,Test,48.03,21.02,52.32,2.88,21.02,43.78,841,1751,40,98,8,1,4
Galle International Stadium,2012,T20,96.49,17.67,43.78,5.79,17.67,18.31,2421,2509,137,229,24,12,24
Galle International Stadium,2012,Test,48.74,25.5,51.55,2.92,25.5,52.3,2677,5492,105,309,24,3,12
Galle International Stadium,2013,Test,61.66,84.89,44.27,3.7,84.89,137.68,1613,2616,19,159,13,1,4
Galle International Stadium,2014,Test,51.07,36.3,49.59,3.06,36.3,71.07,2432,4762,67,270,21,2,8
Galle International Stadium,2015,Test,54.97,30.14,46.98,3.3,30.14,54.83,3014,5483,100,312,28,3,11
Galle International Stadium,2016,Test,62.22,20.18,49.57,3.73,20.18,32.42,807,1297,40,82,12,1,4
Galle International Stadium,2017,ODI,98.14,43.23,46.9,5.89,43.23,44.05,951,969,22,104,5,2,4
Galle International Stadium,2017,Test,63.41,40.2,46.51,3.8,40.2,63.39,2653,4184,66,265,29,2,8
Galle International Stadium,2018,ODI,68.44,20.29,45.79,4.11,20.29,29.65,629,919,31,60,8,2,4
Galle International Stadium,2018,Test,53.09,23.59,40.27,3.19,23.59,44.43,1793,3377,76,149,21,2,8
Galle International Stadium,2019,Test,48.31,31.44,36.3,2.9,31.44,65.09,1069,2213,34,82,10,1,4
Galle International Stadium,2021,Test,48.5,27.91,40.34,2.91,27.91,57.54,3907,8056,140,355,26,4,16
Galle International Stadium,2022,Test,55.25,30.42,43.47,3.31,30.42,55.06,4076,7378,134,383,40,4,15
Galle International Stadium,2023,ODI,94.72,44.52,42.1,5.68,44.52,47.0,1202,1269,27,98,19,3,6
Galle International Stadium,2023,Test,61.51,40.52,52.51,3.69,40.52,65.88,3485,5666,86,393,43,3,10
Galle International Stadium,2024,Test,58.24,34.08,44.88,3.49,34.08,58.51,2215,3803,65,202,31,2,7
Galle International Stadium,2025,Test,58.99,38.85,43.67,3.54,38.85,65.86,3380,5730,87,324,30,3,11
Gelephu International Cricket Ground,2024,T20,93.15,16.72,42.41,5.59,16.72,17.95,2759,2962,165,195,65,13,26
Goldenacre,2023,T20,122.85,19.06,52.55,7.37,19.06,15.52,2059,1676,108,188,55,8,16
Grace Road,2006,Test,43.55,29.25,57.55,2.61,29.25,67.17,1053,2418,36,150,1,1,4
Grace Road,2016,ODI,71.18,25.46,51.96,4.27,25.46,35.77,331,465,13,43,0,1,2
Grace Road,2017,ODI,77.37,27.89,51.77,4.64,27.89,36.04,2677,3460,96,297,33,7,14
Grace Road,2018,ODI,79.96,27.69,37.92,4.8,27.69,34.62,443,554,16,39,2,1,2
Grace Road,2019,ODI,75.65,22.98,46.63,4.54,22.98,30.38,1218,1610,53,130,8,3,6
Grace Road,2021,ODI,63.43,21.12,47.35,3.81,21.12,33.29,359,566,17,41,1,1,2
Grace Road,2022,ODI,110.28,37.24,55.29,6.62,37.24,33.76,633,574,17,77,7,1,2
Grace Road,2023,ODI,114.93,21.39,59.22,6.9,21.39,18.61,385,335,18,51,4,1,2
Grace Road,2025,ODI,102.61,36.81,54.67,6.16,36.81,35.88,589,574,16,76,3,1,2
Grainville,2022,T20,84.58,18.45,23.65,5.08,18.45,21.82,203,240,11,12,0,1,2
Grainville,2023,T20,100.12,19.07,45.93,6.01,19.07,19.05,1659,1657,87,174,11,8,16
Grainville,2024,T20,90.91,10.5,28.57,5.45,10.5,11.55,210,231,20,15,0,1,2
Grainville,2025,T20,115.96,18.36,46.9,6.96,18.36,15.83,661,570,36,55,15,3,6
"Grand Prairie Stadium, Dallas",2024,ODI,85.32,29.05,45.16,5.12,29.05,34.05,1714,2009,59,141,35,5,9
"Grand Prairie Stadium, Dallas",2024,T20,130.9,24.14,51.08,7.85,24.14,18.44,2173,1660,90,159,79,7,18
"Grand Prairie Stadium, Dallas",2025,ODI,72.04,29.48,28.22,4.32,29.48,40.92,737,1023,25,52,0,2,4
"Grand Prairie Stadium, Dallas",2025,T20,98.89,18.26,42.42,5.93,18.26,18.46,712,720,39,68,5,3,6
Grange Cricket Club,2018,T20,135.71,23.38,53.62,8.14,23.38,17.23,608,448,26,44,25,2,4
Grange Cricket Club,2019,ODI,104.2,28.94,47.98,6.25,28.94,27.78,521,500,18,40,15,1,2
Grange Cricket Club Ground,2013,ODI,68.03,21.53,34.43,4.08,21.53,31.65,366,538,17,27,3,1,2
Grange Cricket Club Ground,2015,T20,128.84,21.97,57.32,7.73,21.97,17.05,813,631,37,82,23,3,6
Grange Cricket Club Ground,2016,ODI,92.47,32.38,46.38,5.55,32.38,35.02,1781,1926,55,157,33,4,8
Grange Cricket Club Ground,2017,ODI,90.72,30.97,50.38,5.44,30.97,34.13,929,1024,30,93,16,2,4
Grange Cricket Club Ground,2021,T20,125.39,23.53,48.99,7.52,23.53,18.76,894,713,38,66,29,3,6
Grange Cricket Club Ground,2022,ODI,106.98,47.15,58.08,6.42,47.15,44.08,613,573,13,71,12,1,2
Grange Cricket Club Ground,2022,T20,144.81,27.91,60.75,8.69,27.91,19.27,1228,848,44,116,47,4,8
Grange Cricket Club Ground,2023,T20,132.98,21.33,55.89,7.98,21.33,16.04,3242,2438,152,297,104,11,22
Grange Cricket Club Ground,2024,T20,151.87,23.95,63.38,9.11,23.95,15.77,934,615,39,73,50,3,6
Great Barrier Reef Arena,2021,ODI,87.84,40.29,41.54,5.27,40.29,45.87,1531,1743,38,147,8,3,6
Great Barrier Reef Arena,2024,T20,115.78,18.72,40.88,6.95,18.72,16.17,543,469,29,54,1,2,4
Great Barrier Reef Arena,2025,ODI,108.87,33.0,53.03,6.53,33.0,30.31,1056,970,32,95,30,2,4
Green Park,2004,Test,49.02,49.78,45.59,2.94,49.78,101.57,1145,2336,23,117,9,1,3
Green Park,2005,ODI,90.6,45.55,55.89,5.44,45.55,50.27,501,553,11,52,12,1,2
Green Park,2007,ODI,92.81,33.88,45.39,5.57,33.88,36.5,542,584,16,48,9,1,2
Green Park,2008,ODI,82.33,29.2,44.75,4.94,29.2,35.47,438,532,15,43,4,1,2
Green Park,2008,Test,50.42,24.22,50.32,3.03,24.22,48.03,775,1537,32,90,5,1,4
Green Park,2009,Test,62.6,38.0,46.32,3.76,38.0,60.7,1140,1821,30,117,10,1,3
Green Park,2013,ODI,91.68,52.9,51.8,5.5,52.9,57.7,529,577,10,61,5,1,2
Green Park,2015,ODI,100.17,50.08,46.26,6.01,50.08,50.0,601,600,12,47,15,1,2
Green Park,2016,Test,51.29,34.09,53.48,3.08,34.09,66.46,1193,2326,35,143,11,1,4
Green Park,2017,ODI,111.33,51.38,48.8,6.68,51.38,46.15,668,600,13,68,9,1,2
Green Park,2017,T20,128.82,29.5,44.75,7.73,29.5,22.9,295,229,10,21,8,1,2
Green Park,2021,Test,40.06,28.89,47.12,2.4,28.89,72.11,1040,2596,36,112,7,1,4
Green Park,2024,Test,73.27,23.81,65.35,4.4,23.81,32.5,762,1040,32,105,13,1,4
Greenfield International Stadium,2017,T20,133.33,11.64,50.0,8.0,11.64,8.73,128,96,11,7,6,1,2
Greenfield International Stadium,2018,ODI,74.64,19.0,54.55,4.48,19.0,25.45,209,280,11,21,5,1,2
Greenfield International Stadium,2019,T20,148.48,38.11,56.56,8.91,38.11,25.67,343,231,9,23,17,1,2
Greenfield International Stadium,2022,T20,98.18,21.6,60.19,5.89,21.6,22.0,216,220,10,16,11,1,2
Greenfield International Stadium,2023,ODI,107.18,33.07,55.29,6.43,33.07,30.86,463,432,14,43,14,1,2
Greenfield International Stadium,2023,T20,177.5,32.77,64.32,10.65,32.77,18.46,426,240,13,31,25,1,2
Grenada National Cricket Stadium,2003,ODI,86.98,38.54,37.92,5.22,38.54,44.31,1002,1152,26,68,18,2,4
Guanggong International Cricket Stadium,2012,T20,67.14,9.76,20.16,4.03,9.76,14.54,615,916,63,31,0,4,8
Gucherre Cricket Ground,2021,T20,145.55,36.18,47.58,8.73,36.18,24.86,1013,696,28,98,15,3,6
Gucherre Cricket Ground,2023,T20,134.04,23.84,50.79,8.04,23.84,17.78,882,658,37,76,24,3,6
Gucherre Cricket Ground,2025,T20,115.67,20.44,41.03,6.94,20.44,17.67,1594,1378,78,120,29,6,12
Guernsey Rovers Athletic Club Ground,2024,T20,112.99,17.07,44.41,6.78,17.07,15.11,3175,2810,186,264,59,13,26
Guttsta Wicked Cricket Club,2021,T20,72.41,5.83,7.62,4.34,5.83,8.06,105,145,18,2,0,1,2
Gymkhana Club Ground,2003,ODI,64.5,19.32,39.78,3.87,19.32,29.95,367,569,19,32,3,1,2
Gymkhana Club Ground,2006,ODI,65.58,20.54,51.85,3.93,20.54,31.33,945,1441,46,103,13,3,6
Gymkhana Club Ground,2007,ODI,76.37,22.6,45.33,4.58,22.6,29.59,2599,3403,115,242,35,7,14
Gymkhana Club Ground,2007,T20,121.49,21.42,50.86,7.29,21.42,17.63,814,670,38,57,31,3,6
Gymkhana Club Ground,2008,ODI,78.12,25.0,44.0,4.69,25.0,32.0,450,576,18,36,9,1,2
Gymkhana Club Ground,2009,ODI,80.2,29.38,48.51,4.81,29.38,36.62,470,586,16,45,8,1,2
Gymkhana Club Ground,2022,T20,106.95,18.1,48.96,6.42,18.1,16.92,2353,2200,130,222,44,10,20
Gymkhana Club Ground,2023,T20,105.64,16.34,46.34,6.34,16.34,15.47,3578,3387,219,242,115,16,32
Gymkhana Club Ground,2024,T20,100.99,12.72,45.7,6.06,12.72,12.6,2455,2431,193,192,59,14,28
Hagley Oval,2014,ODI,91.17,28.69,41.43,5.47,28.69,31.47,1033,1133,36,86,14,2,4
Hagley Oval,2014,Test,58.17,34.16,49.22,3.49,34.16,58.72,1093,1879,32,109,17,1,4
Hagley Oval,2015,ODI,90.34,28.58,50.0,5.42,28.58,31.63,2572,2847,90,254,45,6,12
Hagley Oval,2016,ODI,106.33,35.59,46.94,6.38,35.59,33.47,605,569,17,47,16,1,2
Hagley Oval,2016,Test,55.29,31.12,51.31,3.32,31.12,56.29,2023,3659,65,234,17,2,8
Hagley Oval,2017,ODI,92.86,29.71,41.03,5.57,29.71,32.0,1248,1344,42,110,12,3,6
Hagley Oval,2017,Test,62.13,29.9,55.02,3.73,29.9,48.13,927,1492,31,111,11,1,4
Hagley Oval,2018,ODI,86.35,30.96,38.75,5.18,30.96,35.86,867,1004,28,66,12,2,4
