venue_name,venue_country,city,format,year,matches_played,matches_with_result,first_bat_wins,second_bat_wins,avg_innings1_runs,avg_innings2_runs,avg_innings3_runs,avg_innings4_runs,first_bat_win_pct,second_bat_win_pct,innings1_avg_wickets,innings1_avg_boundary_pct,innings1_avg_run_rate,innings2_avg_wickets,innings2_avg_boundary_pct,innings2_avg_run_rate,innings3_avg_wickets,innings3_avg_boundary_pct,innings3_avg_run_rate,innings4_avg_wickets,innings4_avg_boundary_pct,innings4_avg_run_rate,highest_individual_score_batter,highest_individual_score_runs,highest_individual_score_date,highest_individual_score_opponent,best_bowling_bowler,best_bowling_wickets,best_bowling_runs_conceded,best_bowling_date,best_bowling_opponent,top_run_scorer,top_run_scorer_total_runs,top_wicket_taker,top_wicket_taker_total_wickets
"7he Sevens Stadium, Dubai",United Arab Emirates,Dubai,T20,2024,1,1,0,1,79.0,83.0,,,0.0,100.0,10.0,0.04,4.12,2.0,0.1,6.22,,,,,,,O Prendergast,32,2024-04-18,Thailand,AN Kelly,4,12,2024-04-18,Thailand,O Prendergast,32,AN Kelly,4
AMI Stadium,New Zealand,Christchurch,ODI,2008,1,1,0,1,242.0,213.0,,,0.0,100.0,7.0,0.08,4.84,6.0,0.13,5.76,,,,,,,BB McCullum,77,2008-02-23,England,KD Mills,4,36,2008-02-23,England,BB McCullum,77,KD Mills,4
AMI Stadium,New Zealand,Christchurch,ODI,2009,1,1,1,0,392.0,334.0,,,100.0,0.0,5.0,0.17,7.84,10.0,0.16,7.4,,,,,,,SR Tendulkar,163,2009-03-08,New Zealand,Harbhajan Singh,2,56,2009-03-08,New Zealand,SR Tendulkar,163,Harbhajan Singh,2
AMI Stadium,New Zealand,Christchurch,ODI,2010,1,1,0,1,241.0,244.0,,,0.0,100.0,9.0,0.08,4.82,7.0,0.11,5.44,,,,,,,Imrul Kayes,101,2010-02-11,New Zealand,Shakib Al Hasan,4,33,2010-02-11,New Zealand,Imrul Kayes,101,Shakib Al Hasan,4
AMI Stadium,New Zealand,Christchurch,ODI,2011,1,1,1,0,293.0,250.0,,,100.0,0.0,7.0,0.11,5.86,9.0,0.06,5.0,,,,,,,Mohammad Hafeez,115,2011-01-29,New Zealand,Umar Gul,2,31,2011-01-29,New Zealand,Mohammad Hafeez,115,HK Bennett,2
AMI Stadium,New Zealand,Christchurch,T20,2009,1,1,0,1,162.0,166.0,,,0.0,100.0,8.0,0.16,8.1,3.0,0.19,8.81,,,,,,,SK Raina,61,2009-02-25,New Zealand,IG Butler,2,29,2009-02-25,India,SK Raina,61,IE O'Brien,2
AMI Stadium,New Zealand,Christchurch,T20,2010,2,1,1,0,198.5,147.0,6.0,9.0,100.0,0.0,6.0,0.25,9.93,7.0,0.17,7.88,1.0,0.0,6.0,0.0,0.33,18.0,BB McCullum,116,2010-02-28,Australia,Shahid Afridi,4,14,2010-12-30,New Zealand,BB McCullum,118,JEC Franklin,4
AMI Stadium,New Zealand,Christchurch,Test,2005,1,1,0,1,433.0,432.0,131.0,135.0,0.0,100.0,10.0,0.07,3.07,10.0,0.09,3.5,10.0,0.07,2.62,1.0,0.12,4.29,HJH Marshall,146,2005-03-10,Australia,GD McGrath,6,115,2005-03-10,New Zealand,HJH Marshall,168,GD McGrath,7
AMI Stadium,New Zealand,Christchurch,Test,2006,1,1,0,1,154.0,206.0,170.0,119.0,0.0,100.0,10.0,0.07,2.92,10.0,0.05,2.4,10.0,0.07,3.2,5.0,0.07,3.61,KC Sangakkara,100,2006-12-07,New Zealand,SE Bond,4,63,2006-12-07,Sri Lanka,KC Sangakkara,104,M Muralitharan,7
"Achimota Senior Secondary School A Field, Accra",Ghana,Accra,T20,2024,16,15,7,8,121.75,93.0,2.0,4.0,46.67,53.33,7.19,0.09,6.14,6.38,0.08,5.43,2.0,0.0,4.0,0.0,0.5,12.0,G Van Heerden,107,2024-03-17,Ghana,N Shangase,5,13,2024-03-08,Tanzania,T Marumani,120,O Muzondo,11
"Achimota Senior Secondary School B Field, Accra",Ghana,Accra,T20,2024,9,8,5,3,119.11,87.38,,,62.5,37.5,6.11,0.11,6.33,7.62,0.1,5.51,,,,,,,S Sesazi,90,2024-03-18,Ghana,SA Jumbe,5,10,2024-03-17,Nigeria,RG Mukasa,128,AR Ramjani,6
Adelaide Oval,Australia,Adelaide,ODI,2003,2,2,1,1,215.5,206.5,,,50.0,50.0,8.5,0.05,4.36,8.0,0.05,4.25,,,,,,,ST Jayasuriya,99,2003-01-17,England,AR Caddick,4,35,2003-01-17,Sri Lanka,NV Knight,99,AR Caddick,5
Adelaide Oval,Australia,Adelaide,ODI,2019,1,1,0,1,298.0,299.0,,,0.0,100.0,9.0,0.11,5.96,4.0,0.07,6.06,,,,,,,SE Marsh,131,2019-01-15,India,B Kumar,4,45,2019-01-15,Australia,SE Marsh,131,B Kumar,4
Adelaide Oval,Australia,Adelaide,ODI,2022,1,1,0,1,287.0,291.0,,,0.0,100.0,9.0,0.09,5.74,4.0,0.14,6.21,,,,,,,DJ Malan,134,2022-11-17,Australia,A Zampa,3,55,2022-11-17,England,DJ Malan,134,A Zampa,3
Adelaide Oval,Australia,Adelaide,ODI,2024,2,2,0,2,134.0,137.5,,,0.0,100.0,10.0,0.07,4.0,1.5,0.13,5.98,,,,,,,Saim Ayub,82,2024-11-08,Australia,Haris Rauf,5,29,2024-11-08,Australia,Saim Ayub,82,Haris Rauf,5
Adelaide Oval,Australia,Adelaide,ODI,2025,1,1,0,1,264.0,265.0,,,0.0,100.0,9.0,0.1,5.28,8.0,0.08,5.72,,,,,,,MW Short,74,2025-10-23,India,A Zampa,4,60,2025-10-23,India,MW Short,74,A Zampa,4
Adelaide Oval,Australia,Adelaide,T20,2019,1,1,1,0,233.0,99.0,,,100.0,0.0,2.0,0.29,11.65,9.0,0.08,4.95,,,,,,,DA Warner,100,2019-10-27,Sri Lanka,A Zampa,3,14,2019-10-27,Sri Lanka,DA Warner,100,A Zampa,3
Adelaide Oval,Australia,Adelaide,T20,2022,8,7,3,4,141.62,146.86,,,42.86,57.14,5.5,0.15,7.7,4.86,0.16,8.31,,,,,,,TM McGrath,91,2022-01-20,England,Shaheen Shah Afridi,4,22,2022-11-06,Bangladesh,V Kohli,114,BD Glover,5
Adelaide Oval,Australia,Adelaide,T20,2024,1,1,1,0,241.0,207.0,,,100.0,0.0,4.0,0.3,12.05,9.0,0.25,10.35,,,,,,,GJ Maxwell,120,2024-02-11,West Indies,MP Stoinis,3,36,2024-02-11,West Indies,GJ Maxwell,120,MP Stoinis,3
Adelaide Oval,Australia,Adelaide,T20,2025,1,1,1,0,162.0,90.0,,,100.0,0.0,5.0,0.12,8.1,10.0,0.1,5.14,,,,,,,BL Mooney,94,2025-01-25,England,G Wareham,3,11,2025-01-25,England,BL Mooney,94,G Wareham,3
Adelaide Oval,Australia,Adelaide,Test,2004,1,1,1,0,575.0,251.0,139.0,250.0,100.0,0.0,8.0,0.08,3.7,10.0,0.05,2.85,2.0,0.02,2.48,10.0,0.06,3.03,JL Langer,215,2004-11-26,New Zealand,DL Vettori,5,152,2004-11-26,Australia,JL Langer,261,DL Vettori,6
Adelaide Oval,Australia,Adelaide,Test,2019,1,1,1,0,589.0,302.0,239.0,,100.0,0.0,3.0,0.09,4.64,10.0,0.07,3.19,10.0,0.04,2.92,,,,DA Warner,335,2019-11-29,Pakistan,MA Starc,6,66,2019-11-29,Pakistan,DA Warner,335,MA Starc,7
Adelaide Oval,Australia,Adelaide,Test,2020,1,1,0,1,244.0,191.0,36.0,93.0,0.0,100.0,10.0,0.04,2.62,10.0,0.05,2.65,10.0,0.03,1.69,2.0,0.1,4.43,V Kohli,74,2020-12-17,Australia,JR Hazlewood,5,8,2020-12-17,India,V Kohli,78,PJ Cummins,7
Adelaide Oval,Australia,Adelaide,Test,2021,1,1,1,0,473.0,236.0,230.0,192.0,100.0,0.0,9.0,0.06,3.14,10.0,0.06,2.8,9.0,0.06,3.77,10.0,0.03,1.7,M Labuschagne,103,2021-12-16,England,JA Richardson,5,42,2021-12-16,England,M Labuschagne,154,MA Starc,6
Adelaide Oval,Australia,Adelaide,Test,2022,1,1,1,0,511.0,214.0,199.0,77.0,100.0,0.0,7.0,0.07,3.73,10.0,0.06,3.08,6.0,0.11,6.42,10.0,0.04,1.89,TM Head,175,2022-12-08,West Indies,SM Boland,3,16,2022-12-08,West Indies,TM Head,213,AS Joseph,5
Adelaide Oval,Australia,Adelaide,Test,2024,2,2,0,2,184.0,310.0,147.5,22.5,0.0,100.0,10.0,0.08,3.55,10.0,0.08,3.67,10.0,0.09,4.07,0.5,0.11,4.8,TM Head,140,2024-12-06,India,MA Starc,6,48,2024-12-06,India,TM Head,259,MA Starc,11
Affies Park,Namibia,Windhoek,ODI,2019,1,1,0,1,164.0,165.0,,,0.0,100.0,10.0,0.07,3.76,5.0,0.11,5.0,,,,,,,L Siaka,62,2019-04-27,United States of America,N Vanua,4,37,2019-04-27,United States of America,L Siaka,62,N Vanua,4
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Al Amarat,ODI,2020,4,4,2,2,202.5,188.0,,,50.0,50.0,9.0,0.08,4.44,6.25,0.08,4.94,,,,,,,CG Williams,129,2020-01-08,Oman,Ahmed Raza,5,26,2020-01-09,Namibia,CG Williams,158,JJ Smit,8
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Al Amarat,ODI,2021,9,8,1,7,174.22,166.0,,,12.5,87.5,8.89,0.06,4.11,6.25,0.08,4.75,,,,,,,Jatinder Singh,107,2021-09-14,Nepal,S Lamichhane,6,11,2021-09-10,Papua New Guinea,RK Paudel,215,S Lamichhane,16
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Al Amarat,ODI,2022,3,2,0,2,238.67,239.33,,,0.0,100.0,9.67,0.09,4.86,7.33,0.09,4.96,,,,,,,Chirag Suri,115,2022-02-05,Oman,Basil Hameed,5,17,2022-02-06,Oman,Chirag Suri,165,Basil Hameed,7
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Al Amarat,ODI,2024,6,6,3,3,162.33,147.17,,,50.0,50.0,9.33,0.06,3.76,7.0,0.06,3.64,,,,,,,R Chopra,78,2024-11-03,Netherlands,Shakeel Ahmed,5,23,2024-11-07,United Arab Emirates,BFW de Leede,135,Shakeel Ahmed,13
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Al Amarat,ODI,2025,6,6,4,2,183.17,140.0,,,66.67,33.33,9.5,0.08,4.29,8.5,0.07,3.88,,,,,,,AGS Gous,83,2025-02-14,Namibia,NP Kenjige,5,11,2025-02-18,Oman,AGS Gous,186,Shakeel Ahmed,13
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Al Amarat,T20,2019,15,15,5,10,149.67,139.0,,,33.33,66.67,7.4,0.16,7.77,5.93,0.14,7.58,,,,,,,KJ O'Brien,124,2019-10-07,Hong Kong,Aamir Kaleem,5,15,2019-10-10,Nepal,KJ O'Brien,321,Karan KC,11
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Al Amarat,T20,2020,8,8,5,3,145.88,103.75,,,62.5,37.5,5.62,0.11,7.29,6.38,0.1,6.38,,,,,,,Khawar Ali,72,2020-02-25,Maldives,Sultan Ahmed,4,9,2020-02-27,Kuwait,JE Ronalds,142,AM Healey,6
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Al Amarat,T20,2021,6,6,4,2,148.33,126.67,,,66.67,33.33,9.0,0.13,7.42,6.33,0.12,7.07,,,,,,,Jatinder Singh,73,2021-10-17,Papua New Guinea,Shakib Al Hasan,4,9,2021-10-21,Papua New Guinea,Jatinder Singh,113,Shakib Al Hasan,9
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Al Amarat,T20,2022,42,42,20,22,154.33,132.12,,,47.62,52.38,7.02,0.15,7.76,5.71,0.15,7.59,,,,,,,Aysha,113,2022-03-25,Saudi Arabia,A Dcosta,5,11,2022-03-24,Kuwait,Waseem Muhammad,468,S Veerapathiran,15
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Al Amarat,T20,2024,25,25,9,16,142.88,133.6,,,36.0,64.0,6.92,0.13,7.3,5.6,0.17,8.26,,,,,,,Waseem Muhammad,100,2024-04-21,Oman,K Klein,4,16,2024-11-16,Oman,Aqib Ilyas,320,Bilal Khan,14
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Al Amarat,T20,2025,21,21,9,12,145.81,127.05,,,42.86,57.14,7.38,0.13,7.29,5.86,0.13,7.01,,,,,,,SR Mukkamalla,100,2025-02-20,Oman,S Lamichhane,5,18,2025-10-13,Qatar,A Sharafu,249,S Lamichhane,12
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Oman,Al Amarat,ODI,2021,5,5,3,2,229.8,177.8,,,60.0,40.0,8.4,0.08,4.72,7.2,0.07,4.46,,,,,,,JS Malhotra,173,2021-09-09,Papua New Guinea,AA Paradkar,4,26,2021-09-09,Papua New Guinea,JS Malhotra,176,CA Soper,5
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Oman,Al Amarat,T20,2020,3,3,2,1,126.67,113.67,,,66.67,33.33,9.33,0.11,6.61,6.33,0.14,6.7,,,,,,,Chirag Suri,75,2020-02-25,Saudi Arabia,MNM Aslam,4,5,2020-02-25,Iran,Chirag Suri,113,Junaid Siddique,5
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Oman,Al Amarat,T20,2022,21,21,12,9,146.57,87.0,,,57.14,42.86,5.81,0.14,7.48,4.86,0.13,6.89,,,,,,,HMD Rasangika,161,2022-03-22,Saudi Arabia,Junaid Aziz,5,5,2022-02-18,Germany,ER Oza,253,Junaid Aziz,10
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Oman,Al Amarat,T20,2024,10,10,7,3,170.2,144.2,,,70.0,30.0,7.0,0.21,10.04,7.1,0.18,8.78,,,,,,,A Sharafu,90,2024-04-12,Kuwait,Aqib Ilyas,4,17,2024-04-14,Cambodia,A Sharafu,168,Aqib Ilyas,7
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Oman,Al Amarat,T20,2025,7,7,1,6,125.29,123.14,,,14.29,85.71,7.57,0.11,6.36,4.71,0.13,6.92,,,,,,,Waseem Muhammad,84,2025-10-10,Malaysia,MM Baig,4,17,2025-10-09,Malaysia,Zubair Ali,87,MM Baig,10
"Albert Park 1, Suva",Fiji,Suva,T20,2025,12,12,8,4,140.92,87.42,,,66.67,33.33,5.17,0.14,7.23,6.92,0.1,5.13,,,,,,,K Oala,124,2025-09-10,Philippines,P Siaka,5,1,2025-09-10,Philippines,R Andrew,172,E Toguchi-Quinn,8
"Albert Park 2, Suva",Fiji,Suva,T20,2025,9,9,4,5,114.0,101.44,,,44.44,55.56,5.89,0.1,5.73,5.56,0.11,6.16,,,,,,,M Corazon,74,2025-09-15,Japan,RSM Lili'i,3,3,2025-09-09,Philippines,M Corazon,112,RSM Lili'i,5
Albertslund Cricket Club,Denmark,Copenhagen,T20,2025,5,5,3,2,121.0,87.4,,,60.0,40.0,6.0,0.07,6.05,6.2,0.04,5.02,,,,,,,Kanchan Rana,78,2025-08-29,Norway,Malyun Yusuf,3,4,2025-08-31,Finland,Kanchan Rana,119,D Golechha,4
Allan Border Field,Australia,Brisbane,ODI,2017,1,1,0,1,228.0,231.0,,,0.0,100.0,9.0,0.06,4.56,8.0,0.09,4.7,,,,,,,AJ Blackwell,67,2017-10-22,England,A Gardner,3,47,2017-10-22,England,AJ Blackwell,67,A Gardner,3
Allan Border Field,Australia,Brisbane,ODI,2019,3,3,2,1,252.67,164.0,,,66.67,33.33,8.0,0.08,5.05,6.67,0.09,4.58,,,,,,,RL Haynes,118,2019-10-07,Sri Lanka,JL Jonassen,4,31,2019-10-07,Sri Lanka,RL Haynes,237,JL Jonassen,6
Allan Border Field,Australia,Brisbane,ODI,2020,3,3,1,2,252.33,176.33,,,33.33,66.67,8.0,0.1,5.07,6.33,0.1,4.82,,,,,,,MM Lanning,101,2020-10-05,New Zealand,JL Jonassen,4,36,2020-10-05,New Zealand,RL Haynes,222,JL Jonassen,8
Allan Border Field,Australia,Brisbane,T20,2018,1,1,0,1,145.0,149.0,,,0.0,100.0,8.0,0.14,7.25,4.0,0.18,7.91,,,,,,,SW Bates,77,2018-10-01,Australia,ML Schutt,3,15,2018-10-01,New Zealand,SW Bates,77,ML Schutt,3
Allan Border Field,Australia,Brisbane,T20,2020,3,3,1,2,129.67,125.0,,,33.33,66.67,7.67,0.13,6.56,4.67,0.12,6.73,,,,,,,A Gardner,61,2020-09-26,New Zealand,ML Schutt,4,23,2020-09-26,New Zealand,A Gardner,90,DM Kimmince,6
"Allan Border Field, Brisbane",Australia,Brisbane,ODI,2023,3,3,0,3,122.67,124.67,,,0.0,100.0,9.33,0.05,3.31,1.33,0.13,6.01,,,,,,,P Litchfield,78,2023-01-16,Pakistan,KJ Garth,3,8,2023-10-08,West Indies,P Litchfield,161,D Brown,6
"Allan Border Field, Brisbane",Australia,Brisbane,ODI,2024,2,2,1,1,235.5,175.5,,,50.0,50.0,9.0,0.1,5.17,7.0,0.14,5.9,,,,,,,EA Perry,105,2024-12-08,India,ML Schutt,5,19,2024-12-05,India,G Voll,147,ML Schutt,6
"Allan Border Field, Brisbane",Australia,Brisbane,T20,2023,1,1,1,0,190.0,143.0,,,100.0,0.0,9.0,0.25,9.5,10.0,0.19,7.21,,,,,,,HK Matthews,79,2023-10-05,Australia,D Brown,3,20,2023-10-05,West Indies,HK Matthews,79,A Gardner,3
"Allan Border Field, Brisbane",Australia,Brisbane,T20,2024,1,1,0,1,146.0,148.0,,,0.0,100.0,6.0,0.14,7.3,5.0,0.17,7.72,,,,,,,GE Plimmer,53,2024-09-24,Australia,G Wareham,2,21,2024-09-24,New Zealand,GE Plimmer,53,A Sutherland,2
Amini Park,Papua New Guinea,Port Moresby,T20,2019,6,5,3,2,133.83,68.0,,,60.0,40.0,4.83,0.12,8.09,3.5,0.12,8.28,,,,,,,TP Ura,107,2019-03-23,Philippines,N Nipiko,3,16,2019-03-24,Philippines,TP Ura,243,L Siaka,7
"Amini Park, Port Moresby",Papua New Guinea,Port Moresby,ODI,2022,6,5,5,0,224.0,157.17,,,100.0,0.0,7.67,0.07,4.54,9.5,0.05,3.51,,,,,,,M van Lingen,119,2022-09-20,Papua New Guinea,BM Scholtz,3,5,2022-09-15,United States of America,MG Erasmus,231,BM Scholtz,10
"Amini Park, Port Moresby",Papua New Guinea,Port Moresby,ODI,2025,4,4,2,2,159.75,102.0,,,50.0,50.0,9.0,0.05,3.5,7.75,0.05,2.88,,,,,,,P Siaka,60,2025-10-19,United Arab Emirates,S Kotte,5,20,2025-10-13,Papua New Guinea,Theertha Satish,101,MD Botha,9
"Amini Park, Port Moresby",Papua New Guinea,Port Moresby,T20,2023,11,11,5,6,126.55,105.82,,,45.45,54.55,8.45,0.09,6.39,5.45,0.12,6.7,,,,,,,N Nipiko,74,2023-07-28,Japan,KDA Lukies,5,10,2023-07-29,Vanuatu,K Kadowaki-Fleming,216,N Nipiko,13
"Amini Park, Port Moresby",Papua New Guinea,Port Moresby,T20,2025,6,5,4,1,102.67,57.33,,,80.0,20.0,8.17,0.08,5.23,8.0,0.07,4.96,,,,,,,R Andrew,56,2025-06-19,Samoa,R Ova,5,14,2025-06-19,Samoa,HJ Thomas,99,I Toua,9
Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium,India,Visakhapatnam,ODI,2007,1,1,0,1,259.0,263.0,,,0.0,100.0,7.0,0.1,5.51,3.0,0.15,6.42,,,,,,,LPC Silva,107,2007-02-17,India,AB Agarkar,2,52,2007-02-17,Sri Lanka,LPC Silva,107,AB Agarkar,2
Antigua Recreation Ground,Antigua and Barbuda,St John's,Test,2004,1,0,0,0,751.0,285.0,422.0,,,,5.0,0.07,3.72,10.0,0.06,2.88,5.0,0.06,3.08,,,,BC Lara,400,2004-04-10,England,PT Collins,4,76,2004-04-10,England,BC Lara,400,PT Collins,4
Antigua Recreation Ground,Antigua and Barbuda,St John's,Test,2005,1,0,0,0,588.0,747.0,127.0,,,,6.0,0.07,3.61,10.0,0.06,3.17,1.0,0.1,4.1,,,,CH Gayle,317,2005-04-29,South Africa,M Zondeki,3,120,2005-04-29,West Indies,CH Gayle,317,M Zondeki,3
"Antigua Recreation Ground, St John's",Antigua and Barbuda,Antigua,ODI,2006,2,2,1,1,196.5,149.0,,,50.0,50.0,9.0,0.06,3.93,7.5,0.06,3.57,,,,,,,CJ Chibhabha,67,2006-04-30,West Indies,JE Taylor,4,24,2006-04-30,Zimbabwe,CJ Chibhabha,122,JE Taylor,6
"Antigua Recreation Ground, St John's",Antigua and Barbuda,Antigua,Test,2006,1,0,0,0,241.0,371.0,521.0,298.0,,,10.0,0.05,2.6,10.0,0.09,3.77,6.0,0.07,3.45,9.0,0.08,3.14,W Jaffer,212,2006-06-02,West Indies,DJ Bravo,4,40,2006-06-02,India,W Jaffer,213,A Kumble,7
"Antigua Recreation Ground, St John's",Antigua and Barbuda,Antigua,Test,2009,1,0,0,0,566.0,285.0,221.0,370.0,,,9.0,0.07,3.42,10.0,0.07,3.19,8.0,0.08,4.42,9.0,0.05,2.89,AJ Strauss,169,2009-02-15,West Indies,GP Swann,5,57,2009-02-15,West Indies,RR Sarwan,200,GP Swann,8
"Antigua Recreation Ground, St John's, Antigua",Antigua and Barbuda,St John's,Test,2003,1,1,0,1,240.0,240.0,417.0,418.0,0.0,100.0,10.0,0.07,3.33,10.0,0.1,3.66,10.0,0.08,4.01,7.0,0.08,3.24,ML Hayden,177,2003-05-09,West Indies,JJC Lawson,7,78,2003-05-09,Australia,ML Hayden,191,B Lee,7
Arbab Niaz Stadium,Pakistan,Peshawar,ODI,2004,2,2,0,2,248.0,252.5,,,0.0,100.0,6.5,0.08,4.96,6.5,0.09,5.29,,,,,,,Yasir Hameed,98,2004-03-19,India,T Panyangara,3,28,2004-10-03,Pakistan,Yasir Hameed,98,IK Pathan,3
Arbab Niaz Stadium,Pakistan,Peshawar,ODI,2006,1,1,0,1,328.0,311.0,,,0.0,100.0,10.0,0.15,6.6,7.0,0.15,6.62,,,,,,,Salman Butt,101,2006-02-06,India,Naved-ul-Hasan,4,62,2006-02-06,India,Salman Butt,101,Naved-ul-Hasan,4
Arnos Vale Ground,Saint Vincent and the Grenadines,Kingstown,ODI,2004,2,2,1,1,134.0,123.0,,,50.0,50.0,7.5,0.03,3.92,8.5,0.03,3.57,,,,,,,DR Smith,62,2004-05-16,Bangladesh,Tapash Baisya,4,16,2004-05-16,West Indies,RL Powell,72,IDR Bradshaw,5
"Arnos Vale Ground, Kingstown",Saint Vincent and the Grenadines,St Vincent,ODI,2005,1,1,1,0,192.0,133.0,,,100.0,0.0,10.0,0.03,4.32,10.0,0.03,2.93,,,,,,,Salman Butt,43,2005-05-18,West Indies,Abdul Razzaq,4,29,2005-05-18,West Indies,Salman Butt,43,Abdul Razzaq,4
"Arnos Vale Ground, Kingstown",Saint Vincent and the Grenadines,St Vincent,ODI,2008,1,1,1,0,273.0,189.0,,,100.0,0.0,8.0,0.07,5.46,10.0,0.07,4.74,,,,,,,SE Marsh,81,2008-06-24,West Indies,NW Bracken,4,31,2008-06-24,West Indies,SE Marsh,81,NW Bracken,4
"Arnos Vale Ground, Kingstown",Saint Vincent and the Grenadines,St Vincent,ODI,2010,3,3,1,2,182.33,137.0,,,33.33,66.67,9.67,0.04,3.68,7.33,0.08,4.46,,,,,,,CH Gayle,63,2010-03-14,Zimbabwe,DJ Bravo,4,21,2010-03-12,Zimbabwe,CH Gayle,128,DJG Sammy,8
"Arnos Vale Ground, Kingstown",Saint Vincent and the Grenadines,St Vincent,ODI,2012,3,2,1,1,192.67,174.33,,,50.0,50.0,9.0,0.06,4.12,8.33,0.09,4.34,,,,,,,MEK Hussey,67,2012-03-20,West Indies,SP Narine,4,27,2012-03-18,Australia,GJ Bailey,128,SP Narine,8
"Arnos Vale Ground, Kingstown",Saint Vincent and the Grenadines,St Vincent,T20,2013,2,2,1,1,143.5,141.0,,,50.0,50.0,7.0,0.14,7.18,8.5,0.15,7.05,,,,,,,KA Pollard,49,2013-07-27,Pakistan,Zulfiqar Babar,3,23,2013-07-27,West Indies,KA Pollard,72,Zulfiqar Babar,5
"Arnos Vale Ground, Kingstown",Saint Vincent and the Grenadines,St Vincent,Test,2009,1,1,1,0,238.0,307.0,345.0,181.0,100.0,0.0,10.0,0.06,2.69,10.0,0.05,3.23,10.0,0.04,2.87,10.0,0.04,2.58,Tamim Iqbal,128,2009-07-09,West Indies,Mahmudullah,5,51,2009-07-09,West Indies,Tamim Iqbal,142,Mahmudullah,8
"Arnos Vale Ground, Kingstown",Saint Vincent and the Grenadines,St Vincent,Test,2014,1,1,1,0,484.0,182.0,314.0,13.0,100.0,0.0,7.0,0.04,3.02,10.0,0.06,2.54,10.0,0.06,2.77,0.0,0.19,4.88,KC Brathwaite,212,2014-09-05,Bangladesh,SJ Benn,5,39,2014-09-05,Bangladesh,KC Brathwaite,216,SJ Benn,7
"Arnos Vale Ground, Kingstown, St Vincent",Saint Vincent and the Grenadines,Kingstown,ODI,2003,1,1,0,1,191.0,160.0,,,0.0,100.0,10.0,0.02,3.82,4.0,0.05,4.34,,,,,,,DPMD Jayawardene,51,2003-06-11,West Indies,CD Collymore,3,28,2003-06-11,Sri Lanka,DPMD Jayawardene,51,CD Collymore,3
"Arnos Vale Ground, Kingstown, St Vincent",Saint Vincent and the Grenadines,Kingstown,T20,2024,6,6,6,0,140.83,114.0,,,100.0,0.0,7.0,0.14,7.06,9.17,0.12,5.98,,,,,,,Jaker Ali,72,2024-12-19,West Indies,Tanzim Hasan Sakib,4,7,2024-06-16,Nepal,Jaker Ali,146,Taskin Ahmed,10
Arun Jaitley Stadium,India,Delhi,ODI,2005,1,1,1,0,303.0,144.0,,,100.0,0.0,8.0,0.11,6.06,10.0,0.06,3.89,,,,,,,Shoaib Malik,72,2005-04-17,India,Arshad Khan,3,33,2005-04-17,India,Shoaib Malik,72,A Nehra,3
Arun Jaitley Stadium,India,Delhi,ODI,2019,1,1,1,0,272.0,237.0,,,100.0,0.0,9.0,0.1,5.44,10.0,0.07,4.74,,,,,,,UT Khawaja,100,2019-03-13,India,A Zampa,3,46,2019-03-13,India,UT Khawaja,100,A Zampa,3
Arun Jaitley Stadium,India,Delhi,T20,2017,1,1,1,0,202.0,149.0,,,100.0,0.0,3.0,0.22,10.1,8.0,0.14,7.45,,,,,,,S Dhawan,80,2017-11-01,New Zealand,AR Patel,2,20,2017-11-01,New Zealand,RG Sharma,80,AR Patel,2
Arun Jaitley Stadium,India,Delhi,T20,2019,1,1,0,1,148.0,154.0,,,0.0,100.0,6.0,0.15,7.4,3.0,0.15,7.9,,,,,,,Mushfiqur Rahim,60,2019-11-03,India,Aminul Islam,2,22,2019-11-03,India,Mushfiqur Rahim,60,Aminul Islam,2
Arun Jaitley Stadium,India,Delhi,Test,2007,1,1,0,1,231.0,276.0,247.0,203.0,0.0,100.0,10.0,0.05,2.4,10.0,0.08,3.51,10.0,0.07,2.97,4.0,0.08,3.32,Misbah-ul-Haq,82,2007-11-22,India,A Kumble,4,38,2007-11-22,Pakistan,Misbah-ul-Haq,127,A Kumble,7
Arun Jaitley Stadium,India,Delhi,Test,2017,1,0,0,0,536.0,373.0,246.0,299.0,,,7.0,0.07,4.19,10.0,0.07,2.75,5.0,0.07,4.7,6.0,0.06,2.9,V Kohli,243,2017-12-02,Sri Lanka,PADLR Sandakan,4,167,2017-12-02,India,V Kohli,293,PADLR Sandakan,5
