venue,country,city,lat,lon,names
SSC Cricket Ground,Sri Lanka,Colombo,6.906191413,79.86932537,"Sinhalese Sports Club; Sinhalese Sports Club Ground; Sinhalese Sports Club Ground, Colombo; SSC Cricket Ground"
"Sinovich Park, Sinoville",South Africa,Pretoria,-25.67431622,28.21807228,"Sinovich Park, Sinoville"
Stokenchurch Cricket Ground,United Kingdom,Wormsley,51.66042385,-0.90560604,"Sir Paul Getty's Ground; Stokenchurch Cricket Ground; Sir Paul Getty's Ground, Wormsley"
Sir Vivian Richards Stadium,Antigua and Barbuda,North Sound,17.1027029,-61.7848897,"Sir Vivian Richards Stadium; Sir Vivian Richards Stadium, Antigua; Sir Vivian Richards Stadium, North Sound; Sir Vivian Richards Stadium, North Sound; Sir Vivian Richards Stadium, North Sound, Antigua; Sir Vivian Richards Stadium, North Sound, North Sound"
Sophia Gardens,United Kingdom,Cardiff,51.485159,-3.1904734,"Sophia Gardens; Sophia Gardens, Cardiff"
Southend Club Cricket Stadium,Pakistan,Karachi,24.79622255,67.05536682,"Southend Club Cricket Stadium; Southend Club Cricket Stadium, Karachi"
Sportpark Het Schootsveld,Netherlands,Deventer,52.253634,6.226440125,"Sportpark Het Schootsveld; Sportpark Het Schootsveld, Deventer"
Sportpark Maarschalkerweerd,Netherlands,Utrecht,52.07516323,5.151040656,"Sportpark Maarschalkerweerd, Utrecht; Sportpark Maarschalkerweerd"
Sportpark Westvliet,Netherlands,The Hague,52.0669331,4.3724956,"Sportpark Westvliet, The Hague; Sportpark Westvliet; Sportpark Westvliet, Voorburg"
St George's Park,South Africa,Gqeberha,-33.9657696,25.6073323,"St George's Park; St George's Park, Gqeberha; St George's Park, Port Elizabeth"
St Lawrence Ground,United Kingdom,Canterbury,51.2682485,1.0915126,"St Lawrence Ground; St Lawrence Ground, Canterbury"
Stellenbosch University,South Africa,,-33.93732423,18.87557203,Stellenbosch University 1; Stellenbosch University 2
Sunrise Sports Club,Zimbabwe,Harare,-17.84412588,31.01661265,"Sunrise Sports Club, Harare; Sunrise Sports Club"
SuperSport Park,South Africa,Centurion,-25.8596238,28.1956445,"SuperSport Park; SuperSport Park, Centurion"
Sydney Cricket Ground,Australia,Sydney,-33.8914241,151.2247484,"Sydney Cricket Ground; Sydney Cricket Ground, Sydney"
Sylhet International Cricket Stadium,Bangladesh,Sylhet,24.9209101,91.8685606,"Sylhet International Cricket Stadium; Sylhet International Cricket Stadium, Sylhet; Sylhet International Cricket Stadium, Academy Ground"
Takashinga Sports Club,Zimbabwe,Harare,-17.8876142,30.9904688,"Takashinga Sports Club, Highfield, Harare; Takashinga Sports Club, Highfield; Takashinga Sports Club; Takashinga Sports Club, Harare"
Terdthai Cricket Ground,Thailand,Bangkok,13.6935037,100.85156,"Terdthai Cricket Ground, Bangkok; Terdthai Cricket Ground"
Somerset County Cricket Club,United Kingdom,Taunton,51.01905315,-3.100907906,"The Cooper Associates County Ground; The Cooper Associates County Ground, Taunton; Somerset County Cricket Club"
The Hills Cricket Club Ground,Republic of Ireland,Dublin,53.56435472,-6.144108329,The Hills Cricket Club Ground; The Hills Cricket Club; The Vineyard
The Rose Bowl,United Kingdom,Southampton,50.9237276,-1.3236178,"The Rose Bowl; The Rose Bowl, Southampton"
Bristol Cricket Club,United Kingdom,Bristol,51.44031102,-2.679008399,"The Royal & Sun Alliance County Ground, Bristol; Bristol Cricket Club"
Malahide Cricket Club,Republic of Ireland,Dublin,53.4562481,-6.2206297,"The Village, Malahide; The Village, Malahide, Dublin; The Village; Malahide Cricket Club; The Village, Dublin"
DP World Wanderers Stadium,South Africa,Johannesburg,-26.13099993,28.05750725,"The Wanderers Stadium; The Wanderers Stadium, Johannesburg; DP World Wanderers Stadium"
3Ws Oval,Barbados,Cave Hill,13.13590903,-59.63081952,"Three Ws Oval, Cave Hill, Barbados; 3Ws Oval; Three Ws Oval, Cave Hill; Three Ws Oval, Cave Hill, Cave Hill"
Titwood Cricket Ground,United Kingdom,Glasgow,55.8356209,-4.2857484,"Titwood; Titwood, Glasgow; Titwood Cricket Ground"
Tony Ireland Stadium,Australia,Townsville,-19.3176133,146.7318706,"Tony Ireland Stadium, Townsville; Tony Ireland Stadium"
"Toronto Cricket, Skating and Curling Club",Canada,Toronto,43.7398265,-79.418975,"Toronto Cricket, Skating and Curling Club"
Trent Bridge,United Kingdom,Nottingham,52.9384323,-1.1363421,"Trent Bridge; Trent Bridge, Nottingham"
TU Cricket Stadium,Nepal,Kirtipur,27.6781105,85.29033738,"Tribhuvan University International Cricket Ground; Tribhuvan University International Cricket Ground, Kirtipur; TU Cricket Stadium"
"United Cricket Club Ground, Windhoek",Namibia,Windhoek,-22.6075139,17.09596781,"United Cricket Club Ground, Windhoek; United Cricket Club Ground"
University Oval,New Zealand,Dunedin,-45.8657341,170.5255193,"University Oval; University Oval, Dunedin"
Vidarbha C.A. Ground,India,Nagpur,21.15887934,79.07661665,"Vidarbha C.A. Ground; Vidarbha Cricket Association Ground; Vidarbha Cricket Association Stadium, Jamtha; Vidarbha Cricket Association Stadium, Jamtha, Nagpur; Vidarbha Cricket Association Stadium; Vidarbha Cricket Association Stadium, Nagpur; Vidarbha C.A. Ground, Nagpur"
VRA Cricket Ground,Netherlands,Amstelveen,52.3191347,4.850475068,"VRA Cricket Ground; VRA Ground; VRA Ground, Amstelveen"
Wanderers Cricket Ground,Namibia,Windhoek,-22.59129008,17.0717323,"Wanderers Cricket Ground; Wanderers Cricket Ground, Windhoek"
Wankhede Stadium,India,Mumbai,18.9385497,72.8257408,"Wankhede Stadium; Wankhede Stadium, Mumbai; Wankhede Stadium, Bombay"
"Warner Park, Basseterre",Saint Kitts and Nevis,St Kitts,17.2984395,-62.7220774,"Warner Park, Basseterre; Warner Park, Basseterre, St Kitts; Warner Park; Warner Park, St Kitts; Warner Park, Basseterre, Basseterre"
Welagedara Stadium,Sri Lanka,Kurunegala,7.4924067,80.3676596,Welagedara Stadium
Western Australia Cricket Association Ground,Australia,Perth,-31.95952803,115.8798192,"Western Australia Cricket Association Ground; Western Australia Cricket Association Ground, Perth; W.A.C.A. Ground; W.A.C.A. Ground, Perth"
Sky Stadium,New Zealand,Wellington,-41.2730528,174.7858728,"Westpac Stadium; Westpac Stadium, Wellington; Sky Stadium"
Willowmoore Park,South Africa,Benoni,-26.1961933,28.317979,"Willowmoore Park; Willowmoore Park, Benoni"
"Windsor Park, Roseau",Dominica,Dominica,15.3018698,-61.3844608,"Windsor Park, Roseau; Windsor Park, Roseau, Dominica; Windsor Park, Roseau, Roseau; Windsor Park; Windsor Park, Dominica"
YMCA Cricket Club,Republic of Ireland,Dublin,53.32489479,-6.23165564,"YMCA Cricket Club; YMCA Cricket Club, Dublin"
Bir Shrestha Shahid Flight Lieutenant Motiur Rahman Cricket Stadium,Bangladesh,Chittagong,22.35609884,91.76770042,"Zahur Ahmed Chowdhury Stadium; Zahur Ahmed Chowdhury Stadium, Chattogram; Bir Shrestha Shahid Flight Lieutenant Motiur Rahman Cricket Stadium; Zohur Ahmed Chowdhury Stadium; Zahur Ahmed Chowdhury Stadium, Chittagong; Zohur Ahmed Chowdhury Stadium, Chittagong; Zohur Ahmed Chowdhury Stadium, Chattogram"
"Zayed Cricket Stadium, Abu Dhabi",United Arab Emirates,Abu Dhabi,24.395516,54.5410101,"Zayed Cricket Stadium, Abu Dhabi; Zayed Cricket Stadium"
Simonds Stadium,Australia,Victoria,-38.15792254,144.3545198,"Simonds Stadium; Simonds Stadium, South Geelong; Simonds Stadium, Victoria"
Asian Institute of Technology Ground,Thailand,Bangkok,14.07967529,100.6094103,"Asian Institute of Technology Ground; Asian Institute of Technology Ground, Bangkok"
Grange Cricket Club,United Kingdom,Edinburgh,55.96090815,-3.213232988,"Grange Cricket Club; Grange Cricket Club, Raeburn Place; Grange Cricket Club, Edinburgh"
Pukekura Park,New Zealand,New Plymouth,-39.06483425,174.0797393,"Pukekura Park; Pukekura Park, New Plymouth"
Carrara Oval,Australia,Carrara,-28.00619553,153.3670834,"Carrara Oval; Carrara Oval, Carrara"
Pembroke Cricket Club,Republic of Ireland,Dublin,53.32445575,-6.215175804,"Pembroke Cricket Club; Pembroke Cricket Club, Sandymount; Pembroke Cricket Club, Dublin; Pembroke Cricket Club, Sandymount, Dublin"
Royal Selangor Club,Malaysia,Kuala Lumpur,3.149500419,101.6930031,"Royal Selangor Club; Royal Selangor Club, Kuala Lumpur"
Colts Cricket Club Ground,Sri Lanka,Colombo,6.8854842,79.8675627,"Colts Cricket Club Ground; Colts Cricket Club Ground, Colombo"
Botswana Cricket Association Oval,Botswana,Gaborone,-24.65364291,25.93939375,"Botswana Cricket Association Oval 1; Botswana Cricket Association Oval 1, Gaborone; Botswana Cricket Association Oval 2; Botswana Cricket Association Oval 2, Gaborone"
Tolerance Oval,United Arab Emirates,Abu Dhabi,24.39722242,54.53847594,"Tolerance Oval; Tolerance Oval, Abu Dhabi"
Bready Cricket Club,United Kingdom,Derry,54.93785113,-7.381911917,"Bready; Bready, Derry; Bready Cricket Club"
Sydney Showground Stadium,Australia,Sydney,-33.844039,151.06687,"Sydney Showground Stadium; Sydney Showground Stadium, Sydney"
LC de Villiers Oval,South Africa,Pretoria,-25.74970787,28.24789581,"LC de Villiers Oval; LC de Villiers Oval, Pretoria"
Vanuatu Cricket Ground,Vanuatu,Port Vila,-17.73370844,168.3350453,"Ground 1; Ground 1, Independence Park; Ground 1, Port Vila; Ground 2; Ground 2, Independence Park; Ground 2, Port Vila; Vanuatu Cricket Ground; Vanuatu Cricket Ground, Port Vila; Vanuatu Cricket Ground (Oval 2)"
Kyambogo Cricket Oval,Uganda,Kampala,0.345116,32.626371,"Kyambogo Cricket Oval; Kyambogo Cricket Oval, Kampala"
Lugogo Cricket Oval,Uganda,Kampala,0.32586985,32.60454302,"Lugogo Cricket Oval; Lugogo Cricket Oval, Kampala"
Sydney Parade,Republic of Ireland,Dublin,53.32488043,-6.215247732,"Sydney Parade; Sydney Parade, Dublin"
King George V Sports Ground,United Kingdom,Castel,52.969137,-1.112028,"King George V Sports Ground; King George V Sports Ground, Castel"
College Field,Guernsey,St Peter Port,49.45187587,-2.554118146,"College Field; College Field, St Peter Port"
Gahanga International Cricket Stadium,Rwanda,Kigali City,-2.0295414,30.10713432,"Gahanga International Cricket Stadium. Rwanda; Gahanga International Cricket Stadium. Rwanda, Kigali City; Gahanga International Cricket Stadium; Gahanga International Cricket Stadium, Rwanda; Gahanga International Cricket Stadium, Kigali City; Gahanga B Ground; Gahanga B Ground, Rwanda; Gahanga B Ground, Kigali City"
La Manga Club Top Ground,Spain,Murcia,37.60092071,-0.810883043,"La Manga Club Top Ground; La Manga Club Top Ground, Murcia"
Indian Association Ground,Singapore,Singapore,1.31721775,103.8554165,"Indian Association Ground; Indian Association Ground, Singapore"
Lochlands,United Kingdom,Arbroath,56.56493036,-2.60544757,"Lochlands; Lochlands, Arbroath"
Yeonhui Cricket Ground,South Korea,Incheon,37.54008955,126.6684868,"Yeonhui Cricket Ground; Yeonhui Cricket Ground, Incheon"
White Hill Field,Bermuda,Hamilton,32.27191252,-64.87377398,"White Hill Field; White Hill Field, Sandys Parish; White Hill Field, Hamilton"
Bermuda National Stadium,Bermuda,Hamilton,32.30056,-64.76982,"Bermuda National Stadium; Bermuda National Stadium, Hamilton"
Lalabhai Contractor Stadium,India,Surat,21.15563552,72.76925038,"Lalabhai Contractor Stadium; Lalabhai Contractor Stadium, Surat"
La Manga Club Bottom Ground,Spain,Murcia,37.60177159,-0.809716435,"La Manga Club Bottom Ground; La Manga Club Bottom Ground, Murcia"
Pokhara Rangasala,Nepal,Pokhara,28.20443915,83.99142376,"Pokhara Rangasala; Pokhara Rangasala, Pokhara"
Seebarn Cricket Centre,Austria,Lower Austria,48.38363241,16.38724029,"Seebarn Cricket Centre; Seebarn Cricket Centre, Lower Austria"
Pierre Werner Cricket Ground,Luxembourg,Walferdange,49.6643189,6.12784809,"Pierre Werner Cricket Ground; Pierre Werner Cricket Ground, Walferdange"
Sky Stadium,New Zealand,Wellington,-41.27286341,174.7859192,"Sky Stadium; Sky Stadium, Wellington"
Moara Vlasiei Cricket Ground,Romania,Ilfov County,44.64795433,26.21682915,"Moara Vlasiei Cricket Ground; Moara Vlasiei Cricket Ground, Ilfov County"
Wanderers,Namibia,Windhoek,-22.59127471,17.07175707,"Wanderers; Wanderers, Windhoek"
Scott Page Field,Czech Republic,Prague,50.14462123,14.56404073,"Scott Page Field; Scott Page Field, Vinor; Scott Page Field, Prague"
National Sports Academy,Bulgaria,Sofia,42.64819769,23.34812989,"National Sports Academy; National Sports Academy, Sofia"
Marsa Sports Club,Malta,Marsa,35.87604416,14.48695537,"Marsa Sports Club; Marsa Sports Club, Marsa"
Bayer Uerdingen Cricket Ground,Germany,Krefeld,51.3653292,6.630568612,"Bayer Uerdingen Cricket Ground; Bayer Uerdingen Cricket Ground, Krefeld"
Svanholm Park,Denmark,Brondby,55.6288169,12.42785872,"Svanholm Park; Svanholm Park, Brondby"
Gucherre Cricket Ground,Portugal,Albergaria,39.23410293,-8.849026497,"Gucherre Cricket Ground; Gucherre Cricket Ground, Albergaria"
Kerava National Cricket Ground,Finland,Kerava,60.39165559,25.11691678,"Kerava National Cricket Ground; Kerava National Cricket Ground, Kerava"
Entebbe Cricket Oval,Uganda,Entebbe,0.053414534,32.46898061,"Entebbe Cricket Oval; Entebbe Cricket Oval, Entebbe"
Guttsta Wicked Cricket Club,Sweden,Kolsva,59.59619044,15.83325277,"Guttsta Wicked Cricket Club; Guttsta Wicked Cricket Club, Kolsva"
Happy Valley Ground,Cyprus,Episkopi,34.67228495,32.82147044,"Happy Valley Ground; Happy Valley Ground, Episkopi; Happy Valley Ground 2; Happy Valley Ground 2, Episkopi"
Reforma Athletic Club,Mexico,Naucalpan,19.4807963,-99.25798236,"Reforma Athletic Club; Reforma Athletic Club, Naucalpan"
Integrated Polytechnic Regional Centre,Rwanda,Kigali City,-1.694908409,29.92036298,"Integrated Polytechnic Regional Centre; Integrated Polytechnic Regional Centre, Kigali City"
University of Lagos Cricket Oval,Nigeria,Lagos,6.5150095,3.389394714,"University of Lagos Cricket Oval; University of Lagos Cricket Oval, Lagos"
West End Park International Cricket Stadium,Qatar,Doha,25.18963864,51.4601651,"West End Park International Cricket Stadium; West End Park International Cricket Stadium, Doha"
GMHBA Stadium,Australia,Geelong,-38.15811215,144.3545945,"GMHBA Stadium, South Geelong; GMHBA Stadium, South Geelong, Victoria; GMHBA Stadium, South Geelong, Geelong"
Centre for Cricket Development Ground,Namibia,Windhoek,-22.60541119,17.08737367,"Centre for Cricket Development Ground; Centre for Cricket Development Ground, Windhoek"
Malek Cricket Ground,United Arab Emirates,Ajman,25.40270467,55.5602057,"Malek Cricket Ground; Malek Cricket Ground, Ajman"
UKM-YSD Cricket Oval,Malaysia,Bangi,2.934794,101.783373,"UKM-YSD Cricket Oval; UKM-YSD Cricket Oval, Bangi; YSD-UKM Cricket Oval; YSD-UKM Cricket Oval, Bangi"
Meersen,Belgium,Ghent,51.04170518,3.774949407,"Meersen; Meersen, Gent; Meersen, Ghent"
Royal Brussels Cricket Club Ground,Belgium,Waterloo,50.69694723,4.44916991,"Royal Brussels Cricket Club Ground; Royal Brussels Cricket Club Ground, Waterloo"
Grainville,Jersey,St Saviour,49.19815967,-2.088150915,"Grainville; Grainville, St Saviour; Grainville, St Saviour, Jersey; Grainville, St Saviour, St Saviour"
Tikkurila Cricket Ground,Finland,Vantaa,60.30017823,25.02267591,"Tikkurila Cricket Ground; Tikkurila Cricket Ground, Vantaa"
Sportpark Harga,Netherlands,Schiedam,51.92070284,4.367106454,"Sportpark Harga; Sportpark Harga, Schiedam"
Lisicji Jarak Cricket Ground,Serbia,Belgrade,44.82,20.45,"Lisicji Jarak Cricket Ground; Lisicji Jarak Cricket Ground, Belgrade"
Independence Park,Vanuatu,Port Vila,-17.74005975,168.316891,"Independence Park; Independence Park, Port Vila"
Sano International Cricket Ground,Japan,Sano,36.35742202,139.592317,"Sano International Cricket Ground; Sano International Cricket Ground, Sano; Sano International Cricket Ground 2; Sano International Cricket Ground 2, Sano"
Kaizuka Cricket Ground,Japan,Osaka,34.41898233,135.3670613,"Kaizuka Cricket Ground; Kaizuka Cricket Ground, Osaka"
Morodok Techo National Stadium,Cambodia,Phnom Penh,11.68297715,104.8763078,"Morodok Techo National Stadium; Morodok Techo National Stadium, Phnom Penh"
St Albans Club,Argentina,Buenos Aires,-34.8410437,-58.38521713,"St Albans Club; St Albans Club, Buenos Aires; San Albano"
Belgrano Athletic Club Ground,Argentina,Buenos Aires,-34.57227899,-58.46408759,"Belgrano Athletic Club Ground; Belgrano Athletic Club Ground, Buenos Aires"
Hurlingham Club Ground,Argentina,Buenos Aires,-34.58665982,-58.6308715,"Hurlingham Club Ground; Hurlingham Club Ground, Buenos Aires"
Tafawa Balewa Square (TBS) Cricket Oval,Nigeria,Lagos,6.448086398,3.400440554,"Tafawa Balewa Square (TBS) Cricket Oval; Tafawa Balewa Square Cricket Oval; Tafawa Balewa Square Cricket Oval, Lagos"
Gucherre Cricket Ground,Portugal,Albergaria,39.2340199,-8.849047933,"Santarem Cricket Ground; Santarem Cricket Ground, Albergaria; Gucherre Cricket Ground"
Europa Sports Complex,Gibraltar,Gibraltar,36.11073521,-5.347016753,"Europa Sports Complex; Europa Sports Complex, Gibraltar"
Solvangs Park,Denmark,Copenhagen,55.67175073,12.39793392,"Solvangs Park; Solvangs Park, Glostrup; Solvangs Park, Copenhagen"
FB Fields,Jersey,St Clement,49.17382711,-2.083572105,"FB Fields; FB Fields, St Clement"
Goldenacre,United Kingdom,Edinburgh,55.97083629,-3.203760979,"Goldenacre; Goldenacre, Edinburgh"
Bayuemas Oval,Malaysia,Kuala Lumpur,2.9781713,101.4384074,"Bayuemas Oval; Bayuemas Oval, Kuala Lumpur"
GB Oval,Hungary,Szodliget,47.72590739,19.15192862,"GB Oval; GB Oval, Szodliget"
Turf City B Cricket Ground,Singapore,Singapore,1.344229542,103.7904003,"Turf City B Cricket Ground; Turf City B Cricket Ground, Singapore"
Selangor Turf Club,Malaysia,Kuala Lumpur,3.050282675,101.7081407,"Selangor Turf Club; Selangor Turf Club, Kuala Lumpur"
Woodley Cricket Field,United States,Los Angeles,34.17887464,-118.4764193,"Woodley Cricket Field; Woodley Cricket Field, Los Angeles"
Zhejiang University of Technology Cricket Field,China,Hangzhou,30.29193046,120.1640325,"Zhejiang University of Technology Cricket Field; Zhejiang University of Technology Cricket Field, Hangzhou"
St Georges Quilmes,Argentina,,-34.72401722,-58.24379129,St Georges Quilmes
Lapangan Cricket Udayana,Indonesia,Bali,-8.793969434,115.1673482,"Udayana Cricket Ground; Udayana Cricket Ground, Bali; Lapangan Cricket Udayana"
Hong Kong Cricket Club,Hong Kong,Wong Nai Chung Gap,22.25872885,114.1933372,"Hong Kong Cricket Club; Hong Kong Cricket Club, Wong Nai Chung Gap"
Nassau County International Cricket Stadium,United States,New York,40.7299492,-73.5758444,"Nassau County International Cricket Stadium; Nassau County International Cricket Stadium, New York"
Johor Cricket Academy Oval,Malaysia,Johor,1.51695295,103.6393947,"Johor Cricket Academy Oval; Johor Cricket Academy Oval, Johor"
University of Doha for Science and Technology,Qatar,Doha,25.36088686,51.48103978,"University of Doha for Science and Technology; University of Doha for Science and Technology, Doha"
Achimota Senior Secondary School Field,Ghana,Accra,5.591391068,-0.249809779,"Achimota Senior Secondary School A Field; Achimota Senior Secondary School A Field, Accra; Achimota Senior Secondary School B Field; Achimota Senior Secondary School B Field, Accra; Achimota Senior Secondary School Field"
Prairie View Cricket Complex,United States,Houston,30.088702,-96.007672,"Prairie View Cricket Complex; Prairie View Cricket Complex, Houston"
Los Reyes Polo Club,Costa Rica,Guacima,9.948508538,-84.26608388,"Los Reyes Polo Club; Los Reyes Polo Club, Guacima"
7he Sevens Stadium,United Arab Emirates,Dubai,24.99599546,55.46921726,"7he Sevens Stadium; 7he Sevens Stadium, Dubai"
Dreux Sport Cricket Club,France,Dreux,48.76414698,1.337595781,"Dreux Sport Cricket Club; Dreux Sport Cricket Club, Dreux"
Roma Cricket Ground,Italy,Spinaceto,41.77362262,12.45463743,"Roma Cricket Ground; Roma Cricket Ground, Spinaceto"
Simar Cricket Ground,Italy,Rome,41.56611738,12.58952327,"Simar Cricket Ground; Simar Cricket Ground, Rome"
Shrimant Madhavrao Scindia Cricket Stadium,India,Gwalior,26.23586106,78.12547445,"Shrimant Madhavrao Scindia Cricket Stadium; Shrimant Madhavrao Scindia Cricket Stadium, Gwalior"
Guernsey Rovers Athletic Club Ground,Guernsey,Port  Soif,49.48587496,-2.579406919,"Guernsey Rovers Athletic Club Ground; Guernsey Rovers Athletic Club Ground, Port Soif; Guernsey Rovers Athletic Club Ground, Port  Soif"
Sikh Union Club Ground,Kenya,Nairobi,-1.267271674,36.82993092,"Sikh Union Club Ground; Sikh Union Club Ground, Nairobi"
Mladost Cricket Ground,Croatia,Zagreb,45.78657452,15.9455275,"Mladost Cricket Ground; Mladost Cricket Ground, Zagreb"
Faleata Oval No 2,Samoa,Apia,-13.84501491,-171.8001437,"Faleata Oval No 2; Faleata Oval No 2, Apia"
Ekeberg Cricket Ground 1,Norway,Oslo,59.89492414,10.77972779,"Ekeberg Cricket Ground 1; Ekeberg Cricket Ground 1, Oslo"
Ekeberg Cricket Ground 2,Norway,Oslo,59.89544406,10.7751021,"Ekeberg Cricket Ground 2; Ekeberg Cricket Ground 2, Oslo"
Koge Cricket Club,Denmark,Koge,55.46951272,12.1743952,"Koge Cricket Club; Koge Cricket Club, Koge; Koge Cricket Club 2; Koge Cricket Club 2, Koge"
University of Dar-es-Salaam Ground,Tanzania,Dar-es-Salaam,-6.780138544,39.20960221,"University of Dar-es-Salaam Ground; University of Dar-es-Salaam Ground, Dar-es-Salaam"
Spianada Ground,Greece,Corfu,39.62470391,19.92459625,"Marina Ground; Marina Ground, Corfu; Spianada Ground"
Sao Fernando Polo and Cricket Club,Brazil,Seropedica,-22.83366398,-43.72038448,"Sao Fernando Polo and Cricket Club; Sao Fernando Polo and Cricket Club, Seropedica; Sao Fernando Polo and Cricket Club, Campo Sede"
Gelephu International Cricket Ground,Bhutan,Gelephu,26.87894671,90.4826511,"Gelephu International Cricket Ground; Gelephu International Cricket Ground, Gelephu"
TCA Oval,Malawi,Blantyre,-15.81054669,35.00069648,"TCA Oval; TCA Oval, Blantyre"
Singapore National Cricket Ground,Singapore,Singapore,1.317872289,103.7509755,"Singapore National Cricket Ground; Singapore National Cricket Ground, Singapore"
Jinja Cricket Ground,Uganda,Jinja,0.435870227,33.20349463,"Jinja Cricket Ground; Jinja Cricket Ground, Jinja"
Sylhet Stadium,Bangladesh,Sylhet,24.92111403,91.86856397,"Sylhet Stadium; Sylhet Stadium, Sylhet"
Moshood Abiola National Stadium,Nigeria,Abuja,9.037760489,7.452497429,"Nigeria Cricket Federation Oval 1; Nigeria Cricket Federation Oval 1, Abuja; Nigeria Cricket Federation Oval 2; Nigeria Cricket Federation Oval 2, Abuja; Moshood Abiola National Stadium"
Las Caballerizas,Mexico,Mexico City,19.48092774,-99.25797166,"Las Caballerizas; Las Caballerizas, Mexico City"
St George's College Ground,Argentina,Buenos Aires,-34.72449872,-58.24384493,"St George's College Ground; St George's College Ground, Buenos Aires"
"N'Du Stadium, Noumea",New Caledonia,Noumea,-22.24069294,166.4233252,"N'Du Stadium, Noumea; N'Du Stadium, Noumea, New Caledonia; N'Du Stadium, Noumea, Noumea"
Namibia Cricket Ground,Namibia,Windhoek,-22.60576941,17.08752748,"Namibia Cricket Ground; Namibia Cricket Ground, Windhoek; High Performance Oval; High Performance Oval, Windhoek"
Estonian National Cricket and Rugby Field,Estonia,Tallinn,59.43120798,24.57975518,"Estonian National Cricket and Rugby Field; Estonian National Cricket and Rugby Field, Tallinn"
Marrara Stadium,Australia,Darwin,-12.39907569,130.8873284,"Marrara Stadium; Marrara Stadium, Darwin"
Clayton Panama,Panama,Panama City,8.951300073,-79.55085613,"Clayton Panama; Clayton Panama, Panama City"
Jimmy Powell Oval,Cayman Islands,George Town,19.3806684,-81.40214145,"Jimmy Powell Oval; Jimmy Powell Oval, Cayman Islands; Jimmy Powell Oval, George Town"
Velden Cricket Ground,Austria,Latschach,46.58221251,14.03578147,"Velden Cricket Ground; Velden Cricket Ground, Latschach"
Stars Arena Hofstade,Belgium,Zemst,50.99177901,4.486628897,"Stars Arena Hofstade; Stars Arena Hofstade, Zemst"
Ballpark Ground,Austria,Graz,47.1105581,15.39414314,"Ballpark Ground; Ballpark Ground, Graz"
Ishoj Cricket Club,Denmark,Ishoj,55.60978759,12.35084058,"Ishoj Cricket Club; Ishoj Cricket Club, Vejledalen; Ishoj Cricket Club, Ishoj"
Vassil Levski National Sports Academy,Bulgaria,Sofia,42.68847338,23.32395021,"Vassil Levski National Sports Academy; Vassil Levski National Sports Academy, Sofia"
Botkyrka Cricket Center,Sweden,Stockholm,59.24650064,17.80239097,"Botkyrka Cricket Center; Botkyrka Cricket Center, Stockholm"
Stubberudmyra Cricket Ground,Norway,Oslo,59.93235888,10.86489778,"Stubberudmyra Cricket Ground; Stubberudmyra Cricket Ground, Oslo"
Albertslund Cricket Club,Denmark,Copenhagen,55.6743772,12.33187421,"Albertslund Cricket Club; Albertslund Cricket Club, Copenhagen"
Albert Park 1,Fiji,Suva,-18.14739295,178.4250507,"Albert Park 1; Albert Park 1, Suva; Albert Park 2; Albert Park 2, Suva"
New Farnley CC,United Kingdom,Leeds,53.78372781,-1.623562919,"New Farnley CC; New Farnley CC, Leeds"
Malkerns Country Club oval,Eswatini,Malkerns,-26.52175618,31.19321545,"Malkerns Country Club oval; Malkerns Country Club oval, Malkerns"
Bir Sreshtho Flight Lieutenant Matiur Rahman Stadium,Bangladesh,Chattogram,22.35600949,91.76773258,"Bir Sreshtho Flight Lieutenant Matiur Rahman Stadium; Bir Sreshtho Flight Lieutenant Matiur Rahman Stadium, Chattogram; Bir Sreshtho Flight Lieutenant Matiur Rahman Stadium, Chittagong"
Moses Mabhida Stadium,South Africa,Durban,-29.8290201,31.03137409,"Moses Mabhida Stadium; Moses Mabhida Stadium, Durban"
Accor Stadium,Australia,Sydney,-33.84692845,151.063435,"Stadium Australia; Stadium Australia, Sydney; Accor Stadium"
Arundel Castle Cricket Club Ground,United Kingdom,,50.85861509,-0.557410888,Arundel Castle Cricket Club Ground
Maharashtra Cricket Association Stadium,India,Pune,18.67475804,73.70650537,"Subrata Roy Sahara Stadium; Subrata Roy Sahara Stadium, Pune; Maharashtra Cricket Association Stadium"
Guanggong International Cricket Stadium,China,,23.03973082,113.3861901,Guanggong International Cricket Stadium
Kerrydale Oval,Australia,Gold Coast,-28.0754674,153.3886916,"Kerrydale Oval; Kerrydale Oval, Gold Coast"
Mercantile Cricket Association Ground,Sri Lanka,Colombo,6.907915485,79.87048124,"Mercantile Cricket Association Ground; Mercantile Cricket Association Ground, Colombo"
Asgiriya Stadium,Sri Lanka,Kandy,7.29997975,80.6341567,"Asgiriya Stadium; Asgiriya Stadium, Kandy"
Bankstown Oval,Australia,Sydney,-33.92207765,151.0321574,"Bankstown Oval; Bankstown Oval, Sydney"
