venue,country,city,lat,lon,names
Civil Service Cricket Club,United Kingdom,Belfast,54.5970588,-5.834551861,"Civil Service Cricket Club, Stormont; Civil Service Cricket Club, Stormont, Belfast; Civil Service Cricket Club; Civil Service Cricket Club, Belfast"
Clontarf Cricket Club Ground,Republic of Ireland,Dublin,53.36765451,-6.206204477,"Clontarf Cricket Club Ground; Clontarf Cricket Club Ground, Dublin; Clontarf Cricket Club"
Cobham Oval (New),New Zealand,Whangarei,-35.73487523,174.3314772,Cobham Oval (New); Cobham Oval (New) Cricket Ground
Colombo Cricket Club Ground,Sri Lanka,,6.9078403,79.8691422,Colombo Cricket Club Ground
"Coolidge Cricket Ground, Antigua",Antigua and Barbuda,Coolidge,17.1409666,-61.7948025,"Coolidge Cricket Ground, Antigua; Coolidge Cricket Ground; Coolidge Cricket Ground, Coolidge"
County Ground,United Kingdom,Bristol,51.4770612,-2.5843087,"County Ground; County Ground, Derby; County Ground, Bristol; County Ground, Chelmsford; County Ground, Northampton; County Ground, Taunton"
"County Ground, Hove",United Kingdom,Brighton,50.8310035,-0.1635398,"County Ground, Hove; County Ground; County Ground, Brighton"
"County Ground, New Road",United States,Worcester,34.3006353,-84.2512152,"County Ground, New Road; County Ground, New Road, Worcester"
Daren Sammy National Cricket Stadium,Saint Lucia,Gros Islet,14.07076867,-60.93176053,"Daren Sammy National Cricket Stadium; Daren Sammy National Cricket Stadium, Gros Islet; Daren Sammy National Cricket Stadium, Gros Islet, St Lucia; Darren Sammy National Cricket Stadium, St Lucia; Daren Sammy National Cricket Stadium, St Lucia; Darren Sammy National Cricket Stadium; Darren Sammy National Cricket Stadium, Gros Islet; Daren Sammy National Cricket Stadium, Gros Islet, Gros Islet"
Sir John Davies Oval (Cricket Stadium),New Zealand,Queenstown,-45.01600935,168.7386083,"Davies Park, Queenstown; Sir John Davies Oval (Cricket Stadium); Davies Park"
Desert Springs Cricket Ground,Spain,Almeria,37.2526943,-1.8231444,"Desert Springs Cricket Ground, Almeria; Desert Springs Cricket Ground"
Diamond Oval,South Africa,Kimberley,-28.7426421,24.7967746,"Diamond Oval; De Beers Diamond Oval; Diamond Oval, Kimberley; De Beers Diamond Oval, Kimberley"
Docklands Stadium,Australia,Melbourne,-37.816529,144.947517,Docklands Stadium
