match_id,format,innings_no,team,bowler,legal_balls,overs_text,overs_decimal,maidens,runs_conceded,wickets,wides,no_balls,dot_balls,boundary_balls_conceded,economy,bowling_strike_rate,bowling_average
test_2016-07-30_west_indies_india_1022595,Test,2,West Indies,RL Chase,217,36.1,36.167,5,121,5,0,0,157,15,3.35,43.4,24.2
test_2016-07-30_west_indies_india_1022595,Test,2,West Indies,D Bishoo,210,35.0,35.0,5,107,1,0,0,153,12,3.06,210.0,107.0
test_2016-07-30_west_indies_india_1022595,Test,2,West Indies,KC Brathwaite,66,11.0,11.0,0,40,0,0,0,41,3,3.64,,
test_2016-07-30_west_indies_india_1022595,Test,3,India,I Sharma,108,18.0,18.0,3,56,1,0,2,85,8,3.11,108.0,56.0
test_2016-07-30_west_indies_india_1022595,Test,3,India,Mohammed Shami,114,19.0,19.0,3,82,2,0,0,79,12,4.32,57.0,41.0
test_2016-07-30_west_indies_india_1022595,Test,3,India,A Mishra,150,25.0,25.0,6,90,2,0,1,114,13,3.6,75.0,45.0
test_2016-07-30_west_indies_india_1022595,Test,3,India,UT Yadav,72,12.0,12.0,2,44,0,1,0,47,5,3.67,,
test_2016-07-30_west_indies_india_1022595,Test,3,India,R Ashwin,180,30.0,30.0,4,114,1,0,0,121,11,3.8,180.0,114.0
test_2016-08-09_west_indies_india_1022597,Test,1,West Indies,ST Gabriel,138,23.0,23.0,4,84,2,1,9,100,10,3.65,69.0,42.0
test_2016-08-09_west_indies_india_1022597,Test,1,West Indies,AS Joseph,144,24.0,24.0,6,69,3,0,0,116,8,2.88,48.0,23.0
test_2016-08-09_west_indies_india_1022597,Test,1,West Indies,ML Cummins,130,21.4,21.667,9,54,3,1,0,109,8,2.49,43.33,18.0
test_2016-08-09_west_indies_india_1022597,Test,1,West Indies,JO Holder,114,19.0,19.0,7,34,0,0,1,97,2,1.79,,
test_2016-08-09_west_indies_india_1022597,Test,1,West Indies,RL Chase,198,33.0,33.0,9,70,2,0,0,154,4,2.12,99.0,35.0
test_2016-08-09_west_indies_india_1022597,Test,1,West Indies,KC Brathwaite,54,9.0,9.0,1,27,0,0,0,35,1,3.0,,
test_2016-08-09_west_indies_india_1022597,Test,2,India,B Kumar,142,23.4,23.667,10,33,5,2,0,126,3,1.39,28.4,6.6
test_2016-08-09_west_indies_india_1022597,Test,2,India,Mohammed Shami,102,17.0,17.0,3,58,0,0,0,76,9,3.41,,
test_2016-08-09_west_indies_india_1022597,Test,2,India,R Ashwin,156,26.0,26.0,7,52,2,0,0,127,5,2.0,78.0,26.0
test_2016-08-09_west_indies_india_1022597,Test,2,India,I Sharma,78,13.0,13.0,2,40,1,0,2,56,4,3.08,78.0,40.0
test_2016-08-09_west_indies_india_1022597,Test,2,India,RA Jadeja,144,24.0,24.0,9,27,1,0,0,125,1,1.12,144.0,27.0
